state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50
243000000	12.406	12.116	11.330	11.894	11.700	12.057	12.432	12.453	12.676	12.214	12.292	12.030	11.496	10.861	10.812	10.225	9.044	8.465	7.603	7.501	6.968	6.999	6.232	5.488	5.370	5.730	4.938	5.197	5.179	5.313	5.118	4.841	4.545	3.505	3.065	3.448	3.806	3.565	3.896	3.069	2.622	2.126	1.627	1.858	2.139	1.287	1.262	1.966	2.173	1.973
244000000	13.509	13.388	12.165	12.201	12.096	11.903	11.102	11.271	12.229	12.380	12.148	12.447	11.535	10.740	10.988	9.584	8.593	8.700	8.057	7.148	7.469	6.898	6.111	5.617	5.556	6.095	5.006	6.051	5.266	6.063	5.605	4.903	5.140	4.045	4.205	3.533	3.307	2.969	3.124	1.525	1.386	2.080	0.264	0.458	0.691	0.887	-0.961	-0.056	0.081	-1.149
245000000	12.845	13.001	11.847	12.167	11.869	11.454	12.086	12.504	12.433	12.404	11.459	12.092	11.955	11.590	10.739	9.483	8.523	8.035	7.929	7.485	6.838	6.098	6.228	5.597	5.032	5.244	4.965	5.074	5.498	5.864	5.241	4.600	3.667	3.661	3.339	3.787	3.043	3.321	2.272	1.447	0.940	0.666	0.470	-0.252	-0.363	0.506	1.263	0.416	0.943	1.273
246000000	12.555	12.216	11.832	11.999	11.582	11.211	12.140	11.756	12.590	12.572	11.097	12.861	11.638	9.858	9.602	9.117	8.736	8.444	7.263	6.915	6.696	5.778	5.930	5.257	4.722	5.670	4.714	4.600	5.277	4.986	4.582	4.259	3.878	4.255	2.933	3.045	2.977	3.393	2.032	2.649	2.864	2.529	1.015	1.591	0.894	0.799	0.901	1.657	2.133	1.257
247000000	13.146	12.695	12.816	11.633	12.428	11.879	12.216	11.984	11.880	11.044	12.118	11.727	11.372	10.848	10.136	9.261	9.024	8.004	7.506	6.891	6.945	6.456	5.621	5.315	5.277	4.398	4.966	5.509	4.964	4.979	5.067	4.460	3.817	3.615	3.675	3.930	3.633	3.585	2.131	0.046	0.301	-0.090	-0.514	-1.062	-0.153	-0.118	-1.837	-1.544	-1.805	-2.852
248000000	10.887	11.412	11.848	11.465	11.193	11.382	11.919	11.275	12.328	11.899	11.479	11.433	11.030	10.162	9.740	8.547	8.138	8.025	7.216	6.988	6.333	5.541	5.068	4.925	5.409	5.385	5.093	4.897	5.041	4.825	4.339	4.038	3.613	3.847	4.022	3.582	3.596	2.492	2.315	1.615	1.738	0.847	1.444	0.268	0.140	0.549	0.846	-0.354	-0.036	0.289
249000000	12.823	11.968	12.045	11.441	11.589	11.969	10.826	12.164	12.321	11.979	12.743	11.946	10.807	11.134	10.746	9.175	8.949	7.862	7.618	7.098	7.200	6.095	6.148	5.287	5.026	5.205	5.039	4.811	4.991	5.933	5.118	4.410	4.541	3.873	4.076	4.633	3.500	4.245	1.628	1.509	0.854	0.632	1.577	0.726	2.293	0.978	1.839	0.953	2.499	2.496
250000000	12.457	12.160	12.208	11.348	11.970	12.337	11.273	12.183	12.153	13.082	13.302	11.855	11.426	10.679	9.934	9.960	8.596	8.696	7.391	7.727	6.796	6.076	6.070	5.467	5.272	5.115	6.083	5.444	4.838	4.825	4.814	4.358	3.151	3.031	2.453	1.255	0.196	-0.006	1.115	1.120	0.622	-0.853	-0.762	0.168	0.022	1.024	0.813	0.878	1.046	1.108
251000000	14.507	13.844	12.708	11.685	11.962	11.005	12.224	12.229	12.302	12.247	13.106	12.788	12.160	11.933	10.210	8.992	8.732	7.670	7.564	6.786	6.575	6.227	5.293	5.274	4.991	4.885	4.531	5.412	4.546	5.259	4.206	4.333	4.321	4.554	4.044	3.564	2.025	1.421	0.940	0.867	1.170	1.226	2.090	1.045	-0.263	-1.640	-1.830	-1.705	-1.695	-1.392
252000000	13.666	13.092	11.941	12.085	11.734	11.417	12.508	12.979	12.798	12.143	11.714	11.849	11.830	11.367	9.690	9.509	8.269	8.543	7.867	7.146	6.559	6.631	5.641	5.621	5.370	5.116	4.811	5.153	4.363	3.932	4.216	5.229	5.247	4.467	3.616	2.077	1.974	1.861	1.334	1.891	2.970	2.604	2.874	2.548	2.553	3.423	4.645	5.269	4.432	3.407
