state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
174000000	6.0940	1.4365E-2	0.2934	0.1782	0.1930	0.3354	1.0709E-3	0.598	0.391	35.382
175000000	6.4221	5.174E-2	0.2912	0.1792	0.1917	0.3379	1.1167E-3	2.075	0.415	34.566
176000000	6.7975	3.612E-2	0.2980	0.1767	0.1910	0.3343	1.0824E-3	0.487	0.399	34.450
177000000	5.5493	7.3432E-2	0.2992	0.1801	0.1901	0.3306	1.0807E-3	0.880	0.404	35.146
178000000	6.9530	6.0895E-2	0.2946	0.1764	0.1929	0.3361	1.1795E-3	0.806	0.384	33.204
179000000	5.5917	1.3481E-2	0.2932	0.1806	0.1935	0.3327	1.0596E-3	0.500	0.379	35.860
180000000	5.9644	5.1488E-2	0.2933	0.1817	0.1898	0.3352	1.0992E-3	1.174	0.402	35.228
181000000	5.8258	6.3381E-2	0.2922	0.1782	0.1908	0.3387	1.1592E-3	0.574	0.393	33.709
182000000	6.0073	5.8246E-3	0.2951	0.1747	0.1934	0.3367	1.0937E-3	0.372	0.420	34.635
183000000	5.6216	5.3804E-2	0.2971	0.1771	0.1896	0.3363	1.1041E-3	0.680	0.410	33.142
184000000	5.8119	2.4836E-2	0.2929	0.1833	0.1909	0.3329	1.1165E-3	0.263	0.393	36.011
185000000	5.9341	6.2062E-2	0.2948	0.1827	0.1918	0.3306	1.2424E-3	0.340	0.395	32.552
186000000	6.0427	9.218E-2	0.2927	0.1782	0.1894	0.3397	1.0273E-3	0.488	0.473	36.766
187000000	5.6413	5.9988E-3	0.2985	0.1792	0.1932	0.3291	1.0952E-3	0.218	0.404	33.444
188000000	6.2936	3.2672E-2	0.2962	0.1808	0.1925	0.3305	1.1512E-3	0.188	0.371	33.106
189000000	5.3950	3.224E-2	0.2950	0.1778	0.1921	0.3352	1.1503E-3	0.094	0.369	33.247
190000000	5.0855	5.5441E-2	0.2960	0.1807	0.1909	0.3325	1.2496E-3	0.376	0.376	32.214
191000000	6.3874	3.9705E-2	0.2908	0.1790	0.1880	0.3421	1.2242E-3	0.951	0.430	31.466
192000000	6.2165	3.4546E-3	0.2949	0.1834	0.1944	0.3273	1.2022E-3	0.375	0.447	32.780
193000000	5.3969	7.3972E-2	0.2972	0.1776	0.1904	0.3347	1.1748E-3	0.697	0.394	34.864
194000000	5.6628	6.8682E-2	0.2935	0.1798	0.1939	0.3328	1.1304E-3	1.014	0.447	33.066
195000000	6.2188	4.3852E-2	0.2958	0.1817	0.1905	0.3319	1.1101E-3	0.271	0.382	32.811
196000000	6.0767	1.338E-2	0.2938	0.1838	0.1904	0.3320	1.1085E-3	0.638	0.383	33.962
197000000	5.7607	1.2972E-2	0.2929	0.1760	0.1932	0.3379	1.0915E-3	0.126	0.473	35.025
198000000	5.8551	4.1687E-2	0.2985	0.1771	0.1929	0.3315	1.1707E-3	0.586	0.409	32.258
199000000	6.2186	3.8783E-2	0.2894	0.1787	0.1933	0.3386	1.1364E-3	0.169	0.396	34.125
200000000	5.5778	1.1553E-2	0.2960	0.1752	0.1931	0.3357	1.0861E-3	1.163	0.402	33.626
