state	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20
81000000	0.389	-0.722	0.296	1.697	1.343	1.914	0.046	-0.060	0.288	-0.191	0.580	-2.464	-3.156	-3.518	-2.646	-1.602	-2.647	-5.424	-5.581	-5.644
82000000	-0.362	-0.569	-0.052	1.735	1.618	1.811	0.303	-0.425	-0.027	0.354	0.326	-0.831	-1.855	-1.671	-1.750	-2.086	-1.302	0.750	-0.048	1.063
83000000	0.925	-0.738	0.190	1.389	1.686	1.367	0.514	-0.695	0.286	1.330	-0.829	-2.566	-2.458	-0.946	-3.246	-7.153	-3.671	-3.393	-6.744	-13.098
84000000	0.689	-0.691	0.527	1.612	1.468	1.882	0.367	-0.549	0.682	-0.168	0.274	-1.678	-3.891	-2.133	-2.594	-2.312	-2.852	-3.807	-4.184	-3.917
85000000	-0.143	-0.869	0.781	1.845	1.256	2.019	0.536	-0.729	-0.525	0.767	0.090	-1.356	-2.425	-1.651	-3.427	-1.645	-3.728	-2.833	-3.268	-3.557
86000000	1.174	-0.669	0.297	1.890	1.281	2.609	0.438	-1.074	0.271	1.547	-0.008	-1.587	-1.837	-2.326	-3.767	-3.694	-4.386	-4.896	-5.161	-5.354
87000000	0.494	-0.419	0.212	1.916	1.575	1.521	0.505	-0.391	-0.037	1.616	-0.031	-0.878	-2.900	-3.844	-3.164	-1.615	-2.243	-2.289	-0.950	-2.022
88000000	1.300	-0.384	0.758	1.514	1.250	1.696	0.621	-0.672	0.271	0.217	0.188	-3.188	-3.710	-3.578	-3.296	-4.700	-4.096	-4.787	-5.953	-7.772
89000000	1.376	-0.857	0.016	2.138	1.578	1.665	0.397	-0.700	0.280	1.474	0.581	-1.673	-2.714	-0.951	-3.288	-2.218	-4.097	-2.483	-4.905	-4.137
90000000	0.369	-0.571	0.183	1.866	1.721	1.729	0.800	-0.466	0.002	0.717	0.078	-1.666	-2.808	-2.767	-4.226	-5.492	-5.219	-4.288	-2.477	-3.116
91000000	1.577	-1.098	0.276	2.457	1.470	1.545	0.829	-0.131	0.322	0.489	1.011	-2.211	-3.656	-0.838	-4.167	-0.667	-0.584	-2.090	-2.181	-3.155
92000000	-0.257	-0.893	0.058	1.875	1.462	2.103	0.446	-0.379	0.559	0.737	1.147	-1.385	-2.098	-0.140	-5.972	-3.940	0.264	-2.331	-9.308	-11.389
93000000	1.169	-1.248	0.681	1.493	2.160	1.368	0.505	-0.539	0.371	1.824	1.611	-1.448	-3.250	-3.992	-3.418	-3.524	-3.275	-1.485	-1.638	-2.775
94000000	0.682	-0.859	0.146	2.079	1.602	2.029	0.655	-0.793	0.344	0.143	0.602	-1.826	-2.356	-3.361	-2.893	-4.715	-5.181	-5.991	-5.925	-5.984
95000000	1.528	0.091	-0.149	2.128	1.995	1.745	0.604	-0.730	-0.175	0.612	1.330	-1.704	-5.181	-1.663	0.156	1.371	-4.042	-6.084	-6.159	-8.782
96000000	1.266	-0.185	0.241	1.950	1.555	1.741	0.795	-0.601	0.023	-0.180	0.563	-1.389	-3.618	-3.607	-4.122	-5.174	-4.224	-5.229	-4.024	-3.538
97000000	-0.422	-1.230	0.343	1.744	1.417	1.948	1.196	-0.656	-0.336	0.394	1.101	-0.842	-3.034	-4.439	-4.664	-5.433	-5.088	-5.120	-5.471	-4.143
98000000	2.012	-0.919	0.191	3.130	1.546	1.498	0.528	-0.556	0.420	0.441	0.792	-1.493	-2.182	-1.324	-3.223	-5.077	-6.156	-5.677	-6.006	-5.587
99000000	1.824	-0.625	-0.132	1.982	1.569	1.717	0.640	-0.447	1.062	0.411	0.987	-2.010	-2.288	-3.171	-2.701	-0.728	-1.124	-2.285	-5.235	-6.218
100000000	-0.036	-0.719	0.170	1.568	1.835	1.602	0.702	-0.426	0.345	0.944	0.437	-1.727	-3.152	-2.662	-4.786	-6.571	-6.539	-6.945	-6.087	-6.521
101000000	1.595	-0.551	-0.279	2.184	1.574	1.778	0.413	-0.367	-0.187	1.291	-0.293	-1.646	-4.101	-2.814	-1.922	1.113	4.090	3.425	4.623	4.619
102000000	1.541	-0.615	0.032	1.876	1.839	2.355	0.424	0.110	0.344	0.494	0.956	-1.781	-1.422	-2.263	-2.671	-4.468	-2.510	-4.156	-6.380	-7.264
103000000	0.063	-0.722	0.522	1.670	1.685	2.344	0.694	-0.558	0.323	1.169	0.628	-1.590	-2.939	-2.186	-3.586	-3.886	-1.372	-0.919	-2.270	0.025
104000000	0.528	-0.652	0.169	2.006	1.294	1.634	0.082	-0.316	0.291	-0.463	-0.229	-1.720	-2.902	-2.121	-2.979	-2.773	-1.618	-0.392	-0.450	1.877
105000000	-0.563	-0.546	0.199	2.343	1.320	2.047	0.257	-0.490	-0.169	1.184	0.816	-1.001	-2.876	-3.235	-3.172	-1.230	-1.956	-3.473	-2.947	-1.578
106000000	2.586	-0.621	0.253	1.807	1.441	1.976	0.334	-0.489	0.618	1.146	0.200	-1.958	-3.200	-0.847	-2.863	-4.294	-5.972	-6.209	-4.476	-3.063
107000000	0.813	-0.815	0.114	1.286	1.748	1.742	0.400	-0.793	0.915	0.941	0.348	-2.080	-2.451	-1.869	-2.331	-3.963	-5.445	-4.858	-4.475	-5.239
108000000	0.213	-0.941	0.164	1.655	1.565	1.526	0.526	-0.826	0.010	0.587	1.487	-1.464	-2.990	-0.412	-3.094	-3.277	-2.692	-4.921	-6.532	-3.881
109000000	0.464	-0.319	0.991	1.366	1.656	1.296	0.463	-0.736	0.235	0.590	0.434	-2.360	-2.153	-2.079	-3.780	-3.494	-4.446	-4.367	-2.871	-1.741
