state	cp1.kappa	cp2.kappa	cp3.kappa	ig.kappa	cp1.alpha	cp2.alpha	cp3.alpha	ig.alpha	cp1.mu	cp2.mu	cp3.mu	ig.mu	cp1.frequencies1	cp1.frequencies2	cp1.frequencies3	cp1.frequencies4	cp2.frequencies1	cp2.frequencies2	cp2.frequencies3	cp2.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ig.frequencies1	ig.frequencies2	ig.frequencies3	ig.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
40000000	9.207	13.273	14.524	8.319	0.2872	4.7882E-2	0.5850	0.5239	0.5504	0.5203	1.3967	1.5759	0.2875	0.2284	0.2918	0.1923	0.3258	0.2362	0.1650	0.2730	0.2932	0.2048	0.2058	0.2962	0.3382	0.2026	0.1634	0.2958	1.221E-3	9.4533E-4	1.1318E-3	0.7555	1.4203E-2	1.646	1.967	130.372
41000000	9.213	13.720	14.774	9.482	0.1829	4.6233E-2	0.6995	0.4294	0.5172	0.5308	1.4145	1.5812	0.2974	0.2376	0.2679	0.1971	0.3180	0.2447	0.1722	0.2651	0.2865	0.2142	0.1991	0.3002	0.3424	0.1914	0.1584	0.3079	1.23E-3	9.1727E-4	1.1657E-3	0.7500	-2.3043E-2	2.398	1.968	132.262
42000000	8.721	11.729	14.075	8.453	0.1487	3.0546E-2	0.5625	0.3750	0.5072	0.5693	1.4031	1.5627	0.3028	0.2249	0.2780	0.1943	0.3084	0.2388	0.1720	0.2808	0.2918	0.2040	0.2006	0.3037	0.3340	0.1945	0.1639	0.3075	1.2312E-3	8.7531E-4	1.182E-3	0.7136	-2.7159E-2	1.714	2.077	131.010
43000000	12.267	13.327	14.006	8.650	0.2878	6.7367E-2	0.6009	0.3710	0.5774	0.4757	1.4009	1.5904	0.3013	0.2272	0.2792	0.1923	0.3292	0.2307	0.1648	0.2754	0.2823	0.2186	0.2040	0.2951	0.3546	0.1882	0.1601	0.2971	1.2445E-3	8.1359E-4	1.1879E-3	0.6631	2.3917E-2	2.303	1.986	131.254
44000000	7.418	14.368	14.296	8.305	0.1730	7.2832E-2	0.6213	0.4255	0.5085	0.5259	1.4627	1.5437	0.3061	0.2194	0.2690	0.2056	0.3088	0.2363	0.1620	0.2929	0.2939	0.2180	0.1948	0.2934	0.3498	0.1913	0.1556	0.3033	1.207E-3	9.0599E-4	1.139E-3	0.7441	9.9156E-3	1.766	1.928	136.367
45000000	10.151	13.712	11.596	7.961	0.1443	5.8406E-2	0.5970	0.3750	0.5094	0.4676	1.4933	1.5728	0.3070	0.2254	0.2795	0.1881	0.3116	0.2350	0.1732	0.2802	0.2955	0.2254	0.1866	0.2925	0.3410	0.1970	0.1681	0.2939	1.1764E-3	7.4054E-4	1.1196E-3	0.6503	-4.9158E-3	4.807	2.013	133.768
46000000	8.218	12.839	13.598	8.645	0.1082	3.1373E-3	0.4867	0.3583	0.4947	0.5413	1.4008	1.6089	0.3042	0.2324	0.2800	0.1834	0.3189	0.2401	0.1688	0.2722	0.2875	0.2116	0.1986	0.3023	0.3412	0.1918	0.1690	0.2980	1.266E-3	9.893E-4	1.1952E-3	0.7734	6.6344E-3	2.615	2.022	130.964
47000000	8.645	14.347	13.090	7.997	0.3249	7.6624E-3	0.4736	0.2864	0.5295	0.4890	1.4526	1.5720	0.2992	0.2276	0.2777	0.1955	0.3121	0.2326	0.1815	0.2739	0.2911	0.2165	0.1980	0.2944	0.3467	0.1859	0.1618	0.3057	1.2903E-3	9.4572E-4	1.2323E-3	0.7351	7.1509E-3	2.802	1.998	127.435
48000000	9.661	11.750	12.624	7.578	0.3034	4.8273E-2	0.6935	0.3780	0.5368	0.4992	1.4550	1.5503	0.3005	0.2255	0.2740	0.2001	0.3108	0.2398	0.1758	0.2736	0.2828	0.2104	0.1984	0.3084	0.3387	0.1891	0.1678	0.3044	1.2694E-3	9.2649E-4	1.1821E-3	0.7476	1.5971E-2	3.217	1.893	130.040
49000000	7.403	14.536	13.822	9.425	0.2877	1.6482E-2	0.5362	0.3711	0.5461	0.5746	1.4030	1.5149	0.3029	0.2341	0.2760	0.1870	0.3103	0.2395	0.1773	0.2729	0.2892	0.2095	0.1997	0.3016	0.3428	0.1940	0.1628	0.3004	1.2241E-3	8.3235E-4	1.1726E-3	0.6865	3.6217E-3	2.500	1.969	131.246
50000000	9.373	10.152	13.873	9.230	0.2636	9.5642E-2	0.8038	0.3893	0.5334	0.5148	1.4260	1.5685	0.3035	0.2338	0.2706	0.1921	0.3085	0.2393	0.1709	0.2813	0.2842	0.2198	0.1936	0.3025	0.3411	0.1905	0.1691	0.2992	1.2231E-3	8.4081E-4	1.166E-3	0.6949	1.4029E-2	2.467	1.899	131.861
51000000	7.695	13.272	11.949	10.115	0.1771	5.6664E-2	0.5748	0.4327	0.5475	0.5044	1.4298	1.5604	0.3109	0.2204	0.2747	0.1940	0.3163	0.2348	0.1641	0.2849	0.2873	0.2226	0.1908	0.2993	0.3551	0.1912	0.1626	0.2910	1.2354E-3	7.9463E-4	1.1494E-3	0.6425	1.6374E-2	1.228	1.880	133.547
52000000	11.909	10.525	13.784	8.723	0.1984	3.9396E-2	0.6665	0.3855	0.5670	0.4785	1.3805	1.6207	0.3105	0.2256	0.2807	0.1832	0.3172	0.2390	0.1696	0.2743	0.2862	0.2162	0.1982	0.2994	0.3451	0.1925	0.1630	0.2994	1.2679E-3	8.2568E-4	1.2057E-3	0.6433	4.9149E-2	2.449	1.905	126.145
53000000	11.247	11.719	13.659	9.727	0.4487	7.8328E-2	0.6159	0.4087	0.5031	0.4836	1.4734	1.5838	0.3018	0.2284	0.2749	0.1949	0.3265	0.2369	0.1579	0.2786	0.2905	0.2177	0.1979	0.2939	0.3283	0.1952	0.1706	0.3059	1.2952E-3	9.1347E-4	1.2406E-3	0.7065	-1.0603E-2	2.398	1.899	125.765
54000000	8.528	12.338	17.221	9.777	0.4401	2.6504E-2	0.5996	0.3671	0.5602	0.5119	1.3822	1.5900	0.3035	0.2343	0.2633	0.1989	0.3182	0.2344	0.1656	0.2818	0.3014	0.2117	0.1932	0.2936	0.3388	0.1994	0.1585	0.3032	1.1665E-3	8.2496E-4	1.0887E-3	0.7123	-7.5027E-3	2.391	1.995	134.125
55000000	9.123	10.684	14.944	8.746	0.1549	6.6063E-2	0.6535	0.3249	0.5337	0.5415	1.3832	1.5857	0.3003	0.2232	0.2793	0.1971	0.3128	0.2332	0.1777	0.2762	0.3057	0.2072	0.1898	0.2973	0.3505	0.1931	0.1687	0.2877	1.1944E-3	8.8275E-4	1.1503E-3	0.7489	-1.8429E-3	1.276	1.907	130.645
56000000	7.527	13.558	14.615	9.370	0.2021	3.6776E-2	0.7682	0.3538	0.5424	0.5407	1.4138	1.5440	0.3066	0.2313	0.2850	0.1771	0.3115	0.2384	0.1772	0.2728	0.2920	0.2055	0.2062	0.2962	0.3405	0.1926	0.1621	0.3048	1.245E-3	9.1833E-4	1.1711E-3	0.7353	1.7912E-2	2.000	2.094	134.581
57000000	8.962	13.840	12.631	8.171	0.1899	2.2596E-2	0.4853	0.3855	0.5531	0.5207	1.3959	1.5734	0.3045	0.2381	0.2737	0.1836	0.3183	0.2493	0.1624	0.2700	0.2897	0.2038	0.2020	0.3046	0.3372	0.1986	0.1528	0.3114	1.2541E-3	1.0107E-3	1.144E-3	0.7859	-2.947E-2	2.358	1.950	130.215
58000000	11.185	19.232	12.649	7.523	0.2016	8.8408E-2	0.8270	0.3733	0.5152	0.5213	1.4326	1.5741	0.2989	0.2323	0.2686	0.2002	0.3116	0.2405	0.1694	0.2785	0.2813	0.2297	0.1966	0.2925	0.3441	0.1857	0.1638	0.3064	1.1986E-3	8.5628E-4	1.1598E-3	0.7345	1.128E-3	2.307	1.948	133.111
59000000	8.709	13.959	13.341	10.693	0.1511	5.3363E-2	0.7660	0.3716	0.5041	0.5535	1.3974	1.5893	0.2922	0.2387	0.2797	0.1894	0.3127	0.2384	0.1746	0.2742	0.2808	0.2246	0.1928	0.3018	0.3550	0.1925	0.1594	0.2931	1.2343E-3	1.0236E-3	1.1829E-3	0.7974	2.4121E-2	2.312	1.947	129.998
60000000	9.753	13.081	14.175	8.729	0.1314	5.1305E-2	0.7330	0.3771	0.5471	0.4686	1.4804	1.5449	0.2950	0.2445	0.2697	0.1908	0.3162	0.2408	0.1737	0.2693	0.2832	0.2086	0.2031	0.3051	0.3461	0.1974	0.1585	0.2980	1.3127E-3	1.0463E-3	1.1994E-3	0.7843	-1.9572E-2	1.867	2.009	128.111
61000000	9.234	12.189	15.890	7.400	0.1688	0.1160	0.5883	0.4146	0.5597	0.5284	1.3814	1.5736	0.3147	0.2252	0.2706	0.1895	0.3150	0.2404	0.1678	0.2768	0.2804	0.2164	0.2011	0.3020	0.3460	0.1917	0.1623	0.3000	1.2302E-3	8.4683E-4	1.1781E-3	0.7128	7.4352E-3	3.222	1.947	130.723
62000000	8.519	11.865	15.173	7.690	0.2843	9.247E-2	0.6275	0.4298	0.5631	0.5139	1.4145	1.5498	0.3063	0.2299	0.2667	0.1971	0.3112	0.2364	0.1790	0.2734	0.2930	0.2185	0.1912	0.2973	0.3354	0.1973	0.1666	0.3007	1.1834E-3	7.8497E-4	1.1469E-3	0.6856	1.3865E-2	1.788	1.911	133.988
63000000	8.691	13.103	13.574	7.228	0.2056	3.4694E-2	0.5628	0.4048	0.5290	0.4938	1.3725	1.6539	0.3015	0.2218	0.2790	0.1977	0.3004	0.2522	0.1748	0.2726	0.2854	0.2113	0.1901	0.3132	0.3424	0.1962	0.1608	0.3005	1.3166E-3	8.9304E-4	1.2453E-3	0.6974	1.8632E-2	2.536	1.904	128.924
64000000	9.588	13.031	12.188	8.373	0.2521	2.8291E-2	0.6835	0.3373	0.5181	0.5415	1.3518	1.6365	0.3110	0.2205	0.2730	0.1955	0.3147	0.2348	0.1751	0.2754	0.2883	0.2280	0.1902	0.2935	0.3544	0.1825	0.1567	0.3064	1.3249E-3	9.8476E-4	1.2471E-3	0.7519	1.0223E-2	2.180	2.020	125.308
65000000	10.698	13.176	14.433	7.942	0.2323	0.1267	0.6082	0.3683	0.4859	0.5391	1.4566	1.5606	0.2969	0.2306	0.2772	0.1952	0.3126	0.2374	0.1825	0.2675	0.2816	0.2172	0.1957	0.3054	0.3376	0.1932	0.1618	0.3074	1.2237E-3	8.5476E-4	1.157E-3	0.6963	4.5659E-2	2.955	1.893	130.016
66000000	7.988	10.786	13.913	9.545	0.2427	3.6818E-2	0.6594	0.4245	0.5519	0.4511	1.3966	1.6492	0.3117	0.2207	0.2805	0.1871	0.3145	0.2492	0.1661	0.2703	0.2983	0.2096	0.1954	0.2967	0.3552	0.1931	0.1564	0.2954	1.2469E-3	9.8743E-4	1.1605E-3	0.7765	3.662E-3	1.509	1.907	132.195
