state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
183000000	4.1713	0.1421	0.2610	0.1713	0.1730	0.3947	6.3842E-4	1.217	0.877	364.806
184000000	4.4740	0.1531	0.2646	0.1692	0.1770	0.3893	6.5006E-4	0.671	0.812	359.080
185000000	4.4364	0.1355	0.2683	0.1679	0.1747	0.3891	6.4556E-4	1.094	0.829	356.924
186000000	4.1686	0.1410	0.2668	0.1687	0.1724	0.3921	6.38E-4	0.924	0.841	350.903
187000000	4.4010	0.1360	0.2620	0.1691	0.1767	0.3922	6.6958E-4	0.749	0.849	352.827
188000000	4.1435	0.1506	0.2639	0.1684	0.1748	0.3928	6.6425E-4	0.875	0.866	355.504
189000000	4.2482	0.1437	0.2642	0.1714	0.1728	0.3916	6.6133E-4	0.882	0.915	356.360
190000000	4.4617	0.1313	0.2632	0.1701	0.1744	0.3923	6.568E-4	0.757	0.899	352.060
191000000	4.3845	0.1653	0.2645	0.1709	0.1736	0.3911	6.6575E-4	0.710	0.801	355.416
192000000	4.0572	0.1380	0.2631	0.1716	0.1782	0.3872	6.6546E-4	0.415	0.828	353.249
193000000	4.4903	0.1383	0.2649	0.1675	0.1748	0.3928	6.5035E-4	0.504	0.879	351.987
194000000	4.4145	0.1590	0.2603	0.1706	0.1782	0.3909	6.7015E-4	0.432	0.857	354.056
195000000	4.2537	0.1571	0.2632	0.1697	0.1771	0.3899	6.4883E-4	0.415	0.813	349.106
196000000	4.4603	0.1546	0.2626	0.1693	0.1778	0.3903	6.7464E-4	0.618	0.815	348.472
197000000	4.4309	0.1335	0.2662	0.1683	0.1743	0.3913	6.6114E-4	0.316	0.803	355.915
198000000	4.3728	0.1436	0.2630	0.1674	0.1773	0.3924	6.8786E-4	0.540	0.804	346.422
199000000	4.3572	0.1417	0.2623	0.1711	0.1797	0.3869	6.5375E-4	0.501	0.884	351.345
200000000	4.2714	0.1589	0.2656	0.1631	0.1749	0.3965	6.6743E-4	0.534	0.782	346.648
201000000	4.2090	0.1606	0.2612	0.1686	0.1778	0.3924	6.7085E-4	0.324	0.913	354.258
202000000	4.0422	0.1329	0.2632	0.1687	0.1741	0.3940	6.474E-4	0.741	0.775	357.665
203000000	4.1932	0.1521	0.2654	0.1705	0.1726	0.3916	6.5991E-4	0.689	0.848	351.077
204000000	4.4112	0.1524	0.2666	0.1700	0.1747	0.3887	6.6905E-4	0.398	0.873	350.168
205000000	4.1228	0.1464	0.2605	0.1685	0.1787	0.3923	6.5432E-4	1.388	0.796	349.994
206000000	4.1892	0.1560	0.2634	0.1712	0.1756	0.3898	6.587E-4	0.492	0.823	355.651
207000000	4.2689	0.1478	0.2666	0.1656	0.1733	0.3945	6.6681E-4	0.387	0.863	349.246
208000000	4.2784	0.1447	0.2701	0.1695	0.1726	0.3878	6.5156E-4	0.562	0.935	356.297
209000000	4.2630	0.1489	0.2626	0.1675	0.1756	0.3943	6.5976E-4	0.458	0.833	354.501
210000000	4.3159	0.1464	0.2625	0.1662	0.1759	0.3955	6.4448E-4	0.581	0.810	358.952
211000000	4.2506	0.1523	0.2599	0.1666	0.1780	0.3954	6.2391E-4	0.639	0.821	366.156
212000000	4.2075	0.1464	0.2652	0.1684	0.1748	0.3916	6.301E-4	0.514	0.902	360.173
213000000	4.2441	0.1538	0.2654	0.1680	0.1758	0.3907	6.4827E-4	0.455	0.809	363.856
214000000	4.2206	0.1485	0.2647	0.1681	0.1781	0.3892	6.2934E-4	0.367	0.884	362.071
215000000	4.4140	0.1526	0.2614	0.1711	0.1750	0.3924	6.5457E-4	0.522	0.934	366.332
216000000	4.3765	0.1594	0.2659	0.1663	0.1766	0.3913	6.5714E-4	0.430	0.933	360.963
217000000	4.3724	0.1443	0.2664	0.1691	0.1744	0.3901	6.4564E-4	0.918	0.892	360.627
218000000	4.4358	0.1516	0.2679	0.1674	0.1751	0.3896	6.5371E-4	0.630	0.899	363.347
219000000	4.4574	0.1383	0.2602	0.1683	0.1791	0.3925	6.4347E-4	0.554	0.843	356.729
220000000	4.1934	0.1322	0.2631	0.1671	0.1751	0.3947	6.258E-4	0.355	0.876	365.485
221000000	4.3252	0.1432	0.2628	0.1702	0.1755	0.3916	6.6849E-4	0.696	0.850	356.344
222000000	4.3704	0.1519	0.2635	0.1669	0.1736	0.3960	6.3829E-4	0.682	0.824	355.763
223000000	4.3927	0.1464	0.2620	0.1688	0.1769	0.3922	6.7723E-4	0.410	0.885	350.182
224000000	4.2589	0.1429	0.2643	0.1675	0.1756	0.3926	6.5758E-4	0.498	1.029	353.056
225000000	4.3719	0.1365	0.2608	0.1670	0.1791	0.3931	6.4105E-4	0.587	0.792	356.316
226000000	4.4995	0.1445	0.2645	0.1726	0.1756	0.3873	6.6455E-4	0.631	0.807	358.605
227000000	4.3484	0.1463	0.2614	0.1708	0.1743	0.3935	6.6015E-4	0.841	0.846	350.354
228000000	4.4324	0.1651	0.2664	0.1659	0.1774	0.3903	6.4537E-4	0.991	0.837	355.206
229000000	4.2976	0.1468	0.2652	0.1676	0.1773	0.3899	6.8004E-4	0.704	0.836	358.090
230000000	4.4636	0.1400	0.2673	0.1690	0.1742	0.3896	6.7374E-4	0.763	0.921	343.780
231000000	4.2272	0.1361	0.2635	0.1706	0.1731	0.3928	6.8424E-4	0.236	0.888	343.722
232000000	4.2067	0.1407	0.2594	0.1725	0.1749	0.3932	6.74E-4	0.532	0.892	347.792
