state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
15000000	8.845	6.855	0.2049	5.2055E-2	0.8939	1.2122	0.3118	0.2395	0.2013	0.2474	0.2856	0.2212	0.2345	0.2587	9.0391E-4	5.0963E-4	8.6602E-4	0.5815	-1.3274E-3	2.034	1.605	26.664
16000000	7.768	10.541	0.2605	0.2555	0.9469	1.1062	0.3113	0.2272	0.2004	0.2611	0.2996	0.2157	0.2377	0.2470	8.6511E-4	7.2424E-4	8.6745E-4	0.8629	-6.6387E-3	4.287	1.686	30.145
17000000	9.217	6.723	0.1804	0.5206	0.9489	1.1021	0.3073	0.2257	0.2062	0.2609	0.2825	0.2288	0.2398	0.2489	8.4022E-4	6.4235E-4	7.7534E-4	0.7664	1.2707E-2	6.632	1.644	28.822
18000000	7.152	10.082	0.1153	0.2853	0.9252	1.1495	0.3173	0.2282	0.2013	0.2531	0.2970	0.2285	0.2358	0.2387	9.4747E-4	7.3629E-4	8.5683E-4	0.7930	-2.3848E-2	1.579	1.663	29.158
19000000	8.637	11.383	0.1085	0.9092	0.8913	1.2174	0.3086	0.2338	0.2044	0.2532	0.2976	0.2168	0.2384	0.2472	8.3676E-4	5.5506E-4	7.9856E-4	0.6596	-6.7446E-2	0.828	1.704	28.326
20000000	8.673	5.664	7.0877E-2	0.2726	0.9355	1.1291	0.3126	0.2295	0.2027	0.2552	0.2956	0.2179	0.2353	0.2512	9.3987E-4	5.9186E-4	8.4917E-4	0.6227	-2.5263E-3	0.506	1.639	27.066
21000000	10.208	6.818	0.1065	0.5272	0.9570	1.0860	0.3115	0.2243	0.2023	0.2618	0.2967	0.2202	0.2322	0.2510	9.0694E-4	5.7621E-4	8.1228E-4	0.5997	7.1562E-2	0.686	1.885	29.569
22000000	7.609	7.885	6.411E-2	2.3668	0.8739	1.2522	0.3160	0.2246	0.1958	0.2636	0.2952	0.2218	0.2297	0.2532	1.1294E-3	1.1348E-3	8.9719E-4	0.8976	-4.2238E-2	1.116	1.587	25.816
23000000	9.541	11.047	0.1703	0.4895	0.8631	1.2738	0.3225	0.2198	0.2037	0.2539	0.2825	0.2231	0.2400	0.2544	8.9098E-4	6.2451E-4	8.5431E-4	0.7751	5.3408E-2	1.185	1.598	25.594
24000000	9.353	6.067	0.1773	1.0546	0.9075	1.1851	0.3106	0.2282	0.2055	0.2557	0.2927	0.2264	0.2360	0.2449	1.065E-3	8.8305E-4	9.6456E-4	0.7388	6.0178E-2	7.602	1.626	25.345
