taxon	date
A/Delhi/078750/2007	2007-07-14
A/Delhi/078751/2007	2007-07-27
A/Delhi/078756/2007	2007-07-26
A/Delhi/078758/2007	2007-07-04
A/Delhi/092609/2009	2009-01-20
A/Delhi/0942704/2009	2009-02-16
A/Delhi/0942705/2009	2009-03-05
A/Delhi/0942738/2009	2009-08-06
A/Delhi/0942747/2009	2009-08-13
A/Delhi/0942757/2009	2009-08-20
A/Delhi/0942758/2009	2009-08-24
A/Denmark/11/2001	2001
A/Denmark/11/2005	2005
A/Denmark/110/2005	2005
A/Denmark/116/2005	2005
A/Denmark/122/2008	2008-02-13
A/Denmark/15/2004	2004
A/Denmark/16/2001	2001
A/Denmark/16/2004	2004
A/Denmark/17/2004	2004
A/Denmark/20/2001	2001
A/Denmark/22/2005	2005
A/Denmark/22/2007	2007
A/Denmark/226/2005	2005
A/Denmark/3/2001	2001
A/Denmark/3/2005	2005
A/Denmark/33/2005	2005
A/Denmark/36/2001	2001
A/Denmark/40/2000	2000
A/Denmark/47/2006	2006
A/Denmark/48/2006	2006
A/Denmark/49/2006	2006
A/Denmark/54/2005	2005
A/Denmark/79/2005	2005
A/Dibrugarh/0615324/2005	2005-07-28
A/Dibrugarh/0615325/2005	2005-07-28
A/Dibrugarh/0615326/2005	2005-07-28
A/Dibrugarh/0615328/2005	2005-08-04
A/Dibrugarh/0615329/2005	2005-08-16
A/Dunedin/2/2000	2000-02-11
A/Ecuador/10491/2006	2006-09-15
A/Ecuador/10568/2006	2006-09-25
A/Ecuador/10807/2006	2006-10-20
A/Ecuador/10910/2006	2006-11-06
A/Ecuador/2630/01	2001
A/Ecuador/5179/2008	2008-02-26
A/Ecuador/5961/2008	2008-03-03
A/Ehime/1/2001	2001
A/England/161/02	2002
A/England/2005	2005
A/England/26/2008	2008-01-09
A/England/493/2006	2006-04-10
A/England/494/2006	2006-04-11
A/England/545/2007	2007-07-28
A/England/557/2007	2007-11-15
A/England/593/2006	2006-03-24
A/England/594/2006	2006-03-31
A/England/654/2007	2007-12-31
A/England/684/2007	2007
A/EspiritoSanto/131/00	2000
A/EspiritoSanto/141/01	2001
A/EspiritoSanto/150/00	2000
A/EspiritoSanto/39/01	2001
A/EspiritoSanto/45/01	2001
A/Finland/3/2007	2007
A/Finland/4/2007	2007
A/Florida/02/2008	2008-01-04
A/Florida/06/2008	2008-01-11
A/Florida/08/2006	2006-12-19
A/Florida/09/2006	2006-12-14
A/Florida/15/2007	2007-12-16
A/Florida/18/2008	2008-10-26
A/Florida/21/2008	2008-11-04
A/Florida/25/2008	2008-11-22
A/Florida/3/2004	2004-12-10
A/Florida/3/2006	2006-10-31
A/Florida/3e/2004	2004-12-10
A/Florida/4/2004	2004-12-21
A/Florida/904/00	2000
A/Fujian-Gulou/1292/2009	2009-03-19
A/Fujian/Gulou1387/2006	2006-06-01
A/Fukui/1/2001	2001
A/Fukuoka/13/2001E	2001
A/Fukushima/141/2006	2006-01-17
A/Gangwon/252/2008	2008-01-03
A/Gangwon/260/2008	2008-01-07
A/Gangwon/3157/2007	2007-04-16
A/Gangwon/4678/2007	2007-12-27
A/Gangwon/799/2005	2005-12-01
A/Gansu-Chengguan/1798/2008	2008-12-16
A/Gansu-Chengguan/1933/2009	2009-02-11
A/Gansu-Qingshui/31/2008	2008-12-13
A/Gansu/168/2003	2003-03-18
A/Gansu/185/2003	2003-03-25
A/Gansu/57/2005	2005-11-01
A/Gansu/Chengguan1129/2007	2007-01-19
A/Gansu/Chengguan1712/2006	2006-12-13
A/Georgia/05/2008	2008-02-09
A/Georgia/08/2008	2008-01-23
A/Georgia/3/2003	2003-01-15
A/Gifu_C/9/2002	2002
A/Greece/204/2001	2001
A/Guangdong-Futian/139/2009	2009-03-04
A/Guangdong-Zhuangzuyaozuzizhi/51/2009	2009-03-13
A/Guangdong/1001/2009	2009-08
A/Guangdong/1016/2009	2009-08
A/Guangdong/186/2009	2009-02
A/Guangdong/187/2009	2009-02
A/Guangdong/188/2009	2009-02
A/Guangdong/189/2009	2009-02
A/Guangdong/190/2009	2009-02
A/Guangdong/191/2009	2009-02
A/Guangdong/197/2009	2009-04
A/Guangdong/213/2008	2008-06
A/Guangdong/213/2009	2009-04
A/Guangdong/215/2009	2009-04
A/Guangdong/217/2008	2008-07
A/Guangdong/220/2008	2008-07
A/Guangdong/243/2009	2009-04
A/Guangdong/244/2009	2009-04
A/Guangdong/256/2009	2009-04
A/Guangdong/273/2009	2009-04
A/Guangdong/275/2008	2008-07
A/Guangdong/283/2008	2008-07
A/Guangdong/320/2008	2008-07
A/Guangdong/326/2008	2008-07
A/Guangdong/341/2008	2008-07
A/Guangdong/353/2008	2008-07
A/Guangdong/356/2009	2009-05
A/Guangdong/363/2009	2009-04
A/Guangdong/365/2009	2009-04
A/Guangdong/371/2009	2009-05
A/Guangdong/383/2009	2009-05
A/Guangdong/387/2009	2009-05
A/Guangdong/448/2009	2009-05
A/Guangdong/455/2009	2009-05
A/Guangdong/474/2008	2008-08
A/Guangdong/475/2009	2009-06
A/Guangdong/486/2009	2009-06
A/Guangdong/491/2009	2009-05
A/Guangdong/499/2009	2009-06
A/Guangdong/824/2009	2009-06
A/Guangdong/863/2009	2009-07
A/Guangdong/912/2009	2009-07
A/Guangdong/933/2009	2009-07
A/Guangdong/936/2009	2009-07
A/Guangdong/Futian1215/2006	2006-06-20
A/Guangdong/Gluohu1229/2006	2006-06-04
A/Guangzhou/1561/2006	2006
A/Guangzhou/1684/2006	2006
A/Guangzhou/483/2006	2006
A/Guangzhou/506/2006	2006
A/Guangzhou/555/2006	2006
A/Guangzhou/657/2006	2006
A/Guangzhou/665/2006	2006
A/Guizhou/78/2003	2003-03-24
