taxon_id,geography
EBOV|PL4844|KU296527|SLE|PortLoko|2015-03-16,PortLoko
EBOV|PL4886|KU296461|SLE|PortLoko|2015-03-16,PortLoko
EBOV|PL5133|KU296489|SLE|PortLoko|2015-03-21,PortLoko
EBOV|PL5275|KU296439|SLE|PortLoko|2015-03-24,PortLoko
EBOV|PL5534|KU296784|SLE|PortLoko|2015-03-29,PortLoko
EBOV|PL5674|KU296699|SLE|PortLoko|2015-03-31,PortLoko
EBOV|PL5950|KU296559|SLE|PortLoko|2015-04-08,PortLoko
EBOV|MK1156|KU296605|SLE|Bombali|2015-01-15,Bombali
EBOV|20146578|KR653281|SLE|Koinadugu|2014-12-26,Koinadugu
EBOV|DML25123|KT357854|SLE|Kenema|2015-02-18,Kenema
EBOV|EM_079388|KR817178|GIN|Macenta|2014-07-30,Macenta
EBOV|14748_EML|KU296769|SLE|Kambia|2015-04-19,Kambia
EBOV|PL4804|KU296766|SLE|PortLoko|2015-03-15,PortLoko
EBOV|20140008|KR653251|SLE|Kenema|2014-08-22,Kenema
EBOV|20140024|KR653252|SLE|PortLoko|2014-08-20,PortLoko
EBOV|20140038|KR653267|SLE|Tonkolili|2014-08-23,Tonkolili
EBOV|20140091|KR653239|SLE|WesternRural|2014-08-22,WesternRural
EBOV|20140100|KR653241|SLE|Pujehun|2014-08-24,Pujehun
EBOV|20140134|KR653227|SLE|Bombali|2014-08-26,Bombali
EBOV|20140161|KR653265|SLE|Kailahun|2014-08-27,Kailahun
EBOV|20140174|KR653294|SLE|WesternUrban|2014-08-27,WesternUrban
EBOV|20140254|KR653296|SLE|Bo|2014-08-29,Bo
EBOV|201403007|KP178538|LBR|?|2014-08-03,Nimba|RiverCess|RiverGee|Sinoe|Bomi|Bong|Gbarpolu|GrandCapeMount|GrandBassa|GrandGedeh|GrandKru|Lofa|Margibi|Maryland|Montserrado
EBOV|20140395|KR653279|SLE|Kono|2014-09-02,Kono
EBOV|20140433|KR653246|SLE|Tonkolili|2014-09-03,Tonkolili
EBOV|20140436|KR653287|SLE|Moyamba|2014-09-03,Moyamba
EBOV|20140489|KR653235|SLE|Kenema|2014-09-04,Kenema
EBOV|20140517|KR653263|SLE|Kailahun|2014-09-05,Kailahun
EBOV|20140590|KR653278|SLE|Kenema|2014-09-07,Kenema
EBOV|20140729|KR653286|SLE|Bo|2014-09-10,Bo
EBOV|20140872|KR653297|SLE|WesternUrban|2014-09-15,WesternUrban
EBOV|20140910|KR653269|SLE|Kenema|2014-09-18,Kenema
EBOV|20140933|KR653280|SLE|Moyamba|2014-09-16,Moyamba
EBOV|20141012|KR653244|SLE|Pujehun|2014-09-21,Pujehun
EBOV|20141043|KR653305|SLE|Moyamba|2014-09-21,Moyamba
EBOV|20141061|KR653250|SLE|Moyamba|2014-09-21,Moyamba
EBOV|20141123|KR653291|SLE|Bo|2014-09-22,Bo
EBOV|20141227|KR653303|SLE|Bo|2014-09-26,Bo
EBOV|20141232|KR653266|SLE|Tonkolili|2014-09-25,Tonkolili
EBOV|20141241|KR653300|SLE|PortLoko|2014-09-24,PortLoko
EBOV|20141271|KR653261|SLE|PortLoko|2014-09-24,PortLoko
EBOV|20141280|KR653276|SLE|Kambia|2014-09-23,Kambia
EBOV|20141282|KR653229|SLE|Kambia|2014-09-23,Kambia
EBOV|20141288|KR653232|SLE|PortLoko|2014-09-23,PortLoko
EBOV|20141352|KR653284|SLE|Kambia|2014-09-26,Kambia
EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28,Moyamba
EBOV|20141429|KR653260|SLE|Kono|2014-09-28,Kono
EBOV|20141491|KR653289|SLE|Kambia|2014-10-01,Kambia
EBOV|20141497|KR653273|SLE|Bombali|2014-10-01,Bombali
EBOV|20141582|KR653230|SLE|Bo|2014-10-04,Bo
EBOV|20141643|KR653233|SLE|Pujehun|2014-10-04,Pujehun
EBOV|20141650|KR653225|SLE|Kenema|2014-10-05,Kenema
EBOV|20141960|KR653283|SLE|Tonkolili|2014-10-09,Tonkolili
EBOV|20141997|KR653293|SLE|Kono|2014-10-10,Kono
EBOV|20142065|KR653274|SLE|Kenema|2014-10-11,Kenema
EBOV|20142127|KR653234|SLE|Bombali|2014-10-12,Bombali
EBOV|20142260|KR653262|SLE|Bombali|2014-10-14,Bombali
EBOV|20142407|KR653249|SLE|Tonkolili|2014-10-16,Tonkolili
EBOV|20142417|KR653254|SLE|Bo|2014-10-19,Bo
EBOV|20142477|KR653255|SLE|Moyamba|2014-10-19,Moyamba
EBOV|20142551|KR653226|SLE|Koinadugu|2014-10-23,Koinadugu
EBOV|20142843|KR653301|SLE|Bombali|2014-10-23,Bombali
EBOV|20142856|KR653302|SLE|Tonkolili|2014-10-24,Tonkolili
EBOV|20142895|KR653268|SLE|Koinadugu|2014-10-24,Koinadugu
EBOV|20143018|KR653272|SLE|WesternUrban|2014-10-26,WesternUrban
EBOV|20143031|KR653275|SLE|WesternUrban|2014-10-25,WesternUrban
EBOV|20143036|KR653285|SLE|PortLoko|2014-10-24,PortLoko
EBOV|20143107|KR653247|SLE|Bombali|2014-10-25,Bombali
EBOV|20143164|KR653277|SLE|Kenema|2014-10-27,Kenema
EBOV|20143187|KR653298|SLE|Pujehun|2014-10-28,Pujehun
EBOV|20143317|KR653282|SLE|Bombali|2014-10-29,Bombali
EBOV|20143360|KR653258|SLE|Kenema|2014-10-30,Kenema
EBOV|20143415|KR653248|SLE|WesternRural|2014-10-31,WesternRural
EBOV|20143458|KR653245|SLE|Tonkolili|2014-11-01,Tonkolili
EBOV|20143466|KR653304|SLE|Kenema|2014-11-01,Kenema
EBOV|20143550|KR653228|SLE|Bombali|2014-11-01,Bombali
EBOV|20143648|KR653253|SLE|Koinadugu|2014-11-03,Koinadugu
EBOV|20143659|KR653256|SLE|Koinadugu|2014-11-03,Koinadugu
EBOV|20143716|KR653292|SLE|Moyamba|2014-11-04,Moyamba
