state	kappa	alpha	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
123000000	7.0978	0.1351	0.3113	0.2211	0.1996	0.2680	5.7276E-4	56.301	20.371	191.698
124000000	6.4009	0.1522	0.3085	0.2224	0.1946	0.2745	5.6529E-4	21.670	20.803	189.541
125000000	6.1940	0.1839	0.3138	0.2223	0.1995	0.2644	5.8369E-4	103.532	20.457	183.989
126000000	5.8744	0.1306	0.3100	0.2227	0.1973	0.2701	5.2088E-4	17.759	22.248	196.377
127000000	6.8525	0.2047	0.3033	0.2222	0.1999	0.2745	5.0245E-4	290.129	22.921	206.944
128000000	6.6193	0.1700	0.3048	0.2162	0.2037	0.2753	5.5841E-4	11.390	19.489	190.675
129000000	6.3027	0.1350	0.3122	0.2128	0.2051	0.2699	5.6907E-4	32.842	19.440	186.470
130000000	5.9186	0.1206	0.3137	0.2150	0.2018	0.2694	5.0403E-4	41.956	21.750	203.185
131000000	6.5086	0.1963	0.3076	0.2213	0.1966	0.2745	5.1492E-4	169.961	21.516	197.414
132000000	6.2227	0.1637	0.3097	0.2236	0.1973	0.2694	5.1707E-4	339.242	23.087	204.637
133000000	6.7687	0.1306	0.3059	0.2262	0.1968	0.2711	5.7517E-4	29.361	20.523	188.521
134000000	6.3750	4.5055E-2	0.3111	0.2192	0.2029	0.2668	5.0223E-4	34.748	22.039	198.680
135000000	6.6842	0.1338	0.3076	0.2240	0.2042	0.2643	5.5686E-4	197.002	21.003	193.549
136000000	7.8724	0.1146	0.3065	0.2209	0.2012	0.2714	5.0129E-4	17.912	22.857	203.089
137000000	6.4504	0.1418	0.3057	0.2190	0.2018	0.2735	4.8921E-4	55.312	23.479	209.518
138000000	6.2435	0.1539	0.3055	0.2207	0.2026	0.2713	5.6013E-4	3.321	20.978	194.815
139000000	6.7013	0.1379	0.3128	0.2239	0.1972	0.2661	5.1312E-4	15.920	22.205	206.914
140000000	6.7111	0.1707	0.3077	0.2170	0.2043	0.2709	5.3292E-4	64.916	21.006	195.164
141000000	6.2907	0.1612	0.3068	0.2236	0.1993	0.2703	5.859E-4	20.518	20.183	188.067
142000000	6.6340	0.1134	0.3088	0.2241	0.2020	0.2650	5.4101E-4	27.238	21.668	198.685
143000000	7.0496	0.1589	0.3111	0.2207	0.2028	0.2654	5.2456E-4	11.456	21.614	197.244
144000000	7.0741	0.1549	0.3134	0.2179	0.2006	0.2681	5.7011E-4	8.754	19.170	180.710
145000000	6.5777	0.1834	0.3092	0.2204	0.1969	0.2735	5.4167E-4	24.380	19.716	188.535
146000000	6.5010	9.1792E-2	0.3107	0.2249	0.1966	0.2678	5.306E-4	137.019	22.280	197.350
147000000	6.8540	0.1384	0.3150	0.2180	0.2002	0.2669	5.438E-4	86.577	20.378	193.490
148000000	6.6918	8.2761E-2	0.3034	0.2227	0.2026	0.2713	5.1018E-4	55.228	23.959	207.826
149000000	7.1292	9.7451E-2	0.3046	0.2202	0.2036	0.2716	5.6018E-4	36.674	20.095	187.679
