state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
102000000	0.1110	2.4656	0.1917	7.3277E-2	3.0925	6.5904E-2	0.3809	0.3016	0.2027	0.2241	0.2716	8.093E-4	9.0674E-5	8.0242E-4	0.1123	5.5411E-2	13.450	1089.286	21810.589
103000000	0.1087	2.5181	0.1905	7.5834E-2	3.0418	6.5115E-2	0.3766	0.2960	0.2047	0.2220	0.2773	7.833E-4	8.5638E-5	7.8564E-4	0.1065	-3.5069E-2	11.646	1093.567	22234.802
104000000	0.1078	2.5016	0.1902	7.557E-2	3.0573	6.7561E-2	0.3782	0.3005	0.2037	0.2218	0.2739	7.7773E-4	9.7569E-5	7.8646E-4	0.1203	-8.3044E-2	27.610	1075.088	21864.508
105000000	0.1111	2.4625	0.1894	7.1945E-2	3.1003	6.4794E-2	0.3834	0.3028	0.2030	0.2229	0.2712	7.7196E-4	8.9163E-5	7.5876E-4	0.1139	-5.9366E-2	7.619	1247.309	22915.331
106000000	0.1148	2.5329	0.1881	7.695E-2	3.0200	6.7298E-2	0.3822	0.2964	0.2062	0.2217	0.2757	8.016E-4	8.7905E-5	7.9255E-4	0.1067	-3.2024E-2	20.918	1087.385	21698.980
107000000	0.1081	2.5449	0.1928	7.8413E-2	3.0061	6.975E-2	0.3859	0.2948	0.2057	0.2221	0.2774	8.0401E-4	9.4816E-5	8.1121E-4	0.1156	1.4363E-2	5.783	1011.872	21562.587
108000000	0.1061	2.4938	0.1871	7.2773E-2	3.0692	7.1002E-2	0.3782	0.2984	0.2054	0.2215	0.2747	7.8173E-4	8.9924E-5	7.8379E-4	0.1116	2.5904E-3	14.583	1050.445	21987.250
109000000	0.1072	2.4964	0.1887	7.7608E-2	3.0600	7.0063E-2	0.3875	0.2999	0.2040	0.2215	0.2745	7.7244E-4	1.0057E-4	7.835E-4	0.1242	2.8152E-3	12.218	1063.744	22456.057
110000000	0.1107	2.5707	0.1913	7.3739E-2	2.9810	7.254E-2	0.3921	0.2964	0.2057	0.2160	0.2820	7.3898E-4	6.9072E-5	7.3777E-4	0.0899	5.4714E-3	18.049	1147.172	23494.308
111000000	0.1136	2.5164	0.1966	6.9372E-2	3.0336	7.0543E-2	0.3809	0.2979	0.2041	0.2208	0.2772	7.7269E-4	8.0457E-5	7.5832E-4	0.1053	1.6006E-2	14.283	1162.760	22771.468
112000000	0.1107	2.5020	0.1873	7.8145E-2	3.0563	6.5537E-2	0.3834	0.2978	0.2043	0.2219	0.2760	7.6568E-4	9.0586E-5	7.7118E-4	0.1114	-3.3073E-2	14.352	1212.947	22498.973
113000000	0.1132	2.5102	0.1862	7.0974E-2	3.0501	6.9276E-2	0.3731	0.3008	0.2048	0.2211	0.2733	7.753E-4	9.8621E-5	7.6552E-4	0.1227	3.2876E-2	15.725	1142.754	22321.292
114000000	0.1134	2.5155	0.1889	7.719E-2	3.0357	6.9328E-2	0.3776	0.2951	0.2063	0.2212	0.2774	8.2724E-4	9.4538E-5	8.233E-4	0.1155	-1.6411E-3	15.992	1053.219	21195.206
115000000	0.1065	2.5242	0.1935	7.0449E-2	3.0351	7.0219E-2	0.3792	0.2970	0.2060	0.2201	0.2770	7.7689E-4	8.491E-5	7.7844E-4	0.1083	1.4801E-2	11.422	1070.018	22257.895
116000000	0.1146	2.5027	0.1918	6.8996E-2	3.0588	6.3157E-2	0.3780	0.2977	0.2054	0.2224	0.2745	8.3181E-4	8.9897E-5	8.4014E-4	0.1090	2.3742E-2	11.322	994.556	20560.930
117000000	0.1079	2.4922	0.1940	7.5926E-2	3.0612	6.8753E-2	0.3830	0.2971	0.2055	0.2235	0.2739	8.038E-4	9.0536E-5	8.0037E-4	0.1124	-2.6138E-2	8.821	1059.985	21669.534
118000000	0.1093	2.4954	0.1977	7.5479E-2	3.0582	6.3899E-2	0.3744	0.2958	0.2035	0.2254	0.2752	7.9792E-4	9.2783E-5	7.9839E-4	0.1164	-2.773E-2	17.743	1098.367	21779.029
119000000	0.1077	2.5144	0.1932	7.5376E-2	3.0432	6.6136E-2	0.3780	0.3001	0.2042	0.2208	0.2750	8.0037E-4	9.3749E-5	8.1385E-4	0.1151	-1.7885E-2	20.006	1042.037	21337.141
120000000	0.1062	2.5033	0.1903	7.0312E-2	3.0609	6.9038E-2	0.3836	0.3021	0.2026	0.2216	0.2737	8.1358E-4	9.3799E-5	8.1179E-4	0.1161	-1.2077E-2	18.752	1042.020	21382.290
121000000	0.1097	2.5138	0.1955	7.2297E-2	3.0416	6.7135E-2	0.3847	0.2971	0.2043	0.2222	0.2765	7.9052E-4	8.9967E-5	7.8625E-4	0.1111	-5.9113E-2	9.264	1121.737	21931.116
122000000	0.1156	2.5315	0.1865	6.9385E-2	3.0303	6.668E-2	0.3782	0.2954	0.2059	0.2191	0.2796	7.8251E-4	9.1443E-5	7.7816E-4	0.1207	5.3692E-3	2.564	1184.648	22242.331
123000000	0.1107	2.5608	0.1920	7.3986E-2	2.9939	6.862E-2	0.3789	0.2939	0.2082	0.2161	0.2819	7.6737E-4	8.7104E-5	7.6278E-4	0.1151	2.4018E-2	10.821	1126.328	22664.259
124000000	0.1143	2.5308	0.1896	7.4337E-2	3.0228	6.8129E-2	0.3844	0.2984	0.2051	0.2203	0.2762	7.5732E-4	8.5624E-5	7.6416E-4	0.1143	-2.9951E-2	4.320	1086.642	22725.437
