state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
239000000	5.842	9.026	0.3968	0.1616	0.2054	0.2362	0.3559	0.1860	0.1812	0.2768	0.6266	1.7467	4.3957E-3	16.750	12.609	725.756
240000000	6.207	7.780	0.4092	0.1675	0.2097	0.2136	0.3516	0.1747	0.1854	0.2883	0.6215	1.7570	4.3003E-3	17.552	12.407	730.364
241000000	6.510	9.690	0.3853	0.1737	0.2151	0.2260	0.3465	0.1849	0.1881	0.2805	0.6063	1.7873	4.3057E-3	16.653	13.003	729.814
242000000	6.126	9.104	0.3927	0.1814	0.2113	0.2145	0.3579	0.1845	0.1823	0.2753	0.6416	1.7169	4.4375E-3	16.331	12.353	718.257
243000000	6.346	9.313	0.3986	0.1574	0.2150	0.2290	0.3281	0.1942	0.1971	0.2806	0.6177	1.7645	4.5065E-3	15.873	12.523	722.122
244000000	6.456	8.884	0.3898	0.1682	0.2281	0.2139	0.3521	0.2030	0.1715	0.2734	0.6148	1.7703	4.5225E-3	16.262	12.427	711.133
245000000	6.552	8.583	0.3787	0.1809	0.2138	0.2265	0.3412	0.1960	0.1813	0.2816	0.6121	1.7758	4.324E-3	17.650	12.538	738.183
246000000	6.129	8.900	0.3763	0.1756	0.2194	0.2287	0.3598	0.1912	0.1787	0.2703	0.6456	1.7089	4.5329E-3	15.348	12.006	710.363
247000000	6.800	8.895	0.4002	0.1613	0.2145	0.2240	0.3587	0.1922	0.1716	0.2775	0.6300	1.7400	4.1266E-3	16.823	12.595	735.738
248000000	6.301	8.360	0.4024	0.1644	0.2122	0.2210	0.3635	0.1795	0.1825	0.2744	0.6220	1.7560	4.4049E-3	16.692	12.669	710.950
249000000	7.003	8.851	0.3866	0.1760	0.2096	0.2278	0.3643	0.1863	0.1766	0.2728	0.6227	1.7547	4.3356E-3	16.385	12.283	727.986
250000000	6.475	8.737	0.3808	0.1747	0.2260	0.2185	0.3441	0.1859	0.1916	0.2784	0.6073	1.7853	4.5881E-3	16.147	12.106	711.303
251000000	6.491	9.501	0.3875	0.1814	0.2095	0.2216	0.3638	0.1847	0.1787	0.2729	0.6234	1.7531	4.4173E-3	15.919	12.411	714.130
252000000	6.697	8.286	0.3918	0.1766	0.2164	0.2153	0.3503	0.1922	0.1755	0.2820	0.6242	1.7517	4.4893E-3	15.179	12.378	696.630
253000000	6.107	9.079	0.3895	0.1775	0.2085	0.2245	0.3570	0.1839	0.1787	0.2804	0.6170	1.7660	4.2999E-3	16.055	13.199	712.650
254000000	6.503	8.592	0.3934	0.1777	0.2069	0.2220	0.3543	0.1916	0.1808	0.2734	0.6122	1.7756	4.1224E-3	16.762	12.392	730.255
255000000	6.265	9.308	0.3992	0.1605	0.2175	0.2228	0.3613	0.1932	0.1664	0.2791	0.6333	1.7333	4.2221E-3	16.636	12.465	735.654
256000000	6.635	8.061	0.3762	0.1818	0.2245	0.2176	0.3412	0.1831	0.1814	0.2943	0.6024	1.7953	4.3202E-3	17.447	12.307	752.268
257000000	6.031	9.344	0.3841	0.1684	0.2166	0.2310	0.3566	0.1872	0.1763	0.2799	0.6099	1.7803	4.2018E-3	17.695	12.489	748.557
258000000	6.894	9.323	0.3942	0.1730	0.2132	0.2196	0.3490	0.1947	0.1845	0.2718	0.6466	1.7068	4.4616E-3	16.894	12.193	726.764
259000000	6.776	9.052	0.3934	0.1680	0.2166	0.2220	0.3493	0.1808	0.1809	0.2889	0.6279	1.7442	4.2565E-3	17.486	12.793	732.285
260000000	5.768	9.407	0.3913	0.1686	0.2135	0.2266	0.3568	0.1889	0.1755	0.2788	0.6192	1.7616	4.4712E-3	15.721	12.587	718.274
261000000	6.057	9.552	0.4039	0.1690	0.2189	0.2082	0.3681	0.1777	0.1807	0.2736	0.6463	1.7075	4.3969E-3	16.621	12.817	726.719
262000000	5.515	9.285	0.3901	0.1713	0.2106	0.2280	0.3512	0.1887	0.1807	0.2794	0.6387	1.7226	4.578E-3	15.701	12.292	718.068
