taxon	date
KC333384_2012.5246_USA_TX_Harris_-95.3983_29.8591	2012-07-11
KC333387_2012.5437_USA_TX_Harris_-95.3983_29.8591	2012-07-18
KC711057_2012.4098_USA_TX_Denton_-97.1292_33.2164	2012-05-30
KC711058_2012.4262_USA_TX_Collin_-96.6833_33.0167	2012-06-05
KC711059_2012.7705_USA_TX_Collin_-96.6197_33.1483	2012-10-09
KC736488_2012.5_USA_TX_Montogmery_-95.5039_30.1775	2012-07-02
KC736490_2012.5_USA_TX_Montogmery_-95.5039_30.1775	2012-07-02
KC736491_2012.5027_USA_TX_Dallas_-97.0169_32.7153	2012-07-03
KC736492_2012.5027_USA_TX_Dallas_-96.7967_32.7758	2012-07-03
KC736493_2012.5027_USA_TX_Dallas_-96.7967_32.7758	2012-07-03
KC736495_2012.623_USA_TX_Dallas_-96.7967_32.7758	2012-08-16
KC736500_2012.6557_USA_TX_Dallas_-96.6389_32.9126	2012-08-28
KC736502_2012.5027_USA_TX_Dallas_-96.6389_32.9126	2012-07-03
KF704147_2010.5808_USA_AZ_Maricopa_-112.1864_33.5386	2010-08-01
KF704153_2010.5945_USA_AZ_Maricopa_-111.7892_33.35	2010-08-06
KJ501233_2001.7151_USA_AR_Union_-92.5973_33.1714	2001-09-19
KJ501234_2001.7342_USA_AR_Saline_-92.6766_34.6466	2001-09-26
KJ501235_2001.7342_USA_AR_Sebastian_-94.2738_35.1995	2001-09-26
KJ501236_2009.7014_USA_CA_Imperial_-115.364_33.0412	2009-09-14
KJ501237_2008.6011_USA_MN_LacquiParle_-96.1734_44.9955	2008-08-08
KJ501238_2008.6093_USA_MN_LacquiParle_-96.1734_44.9955	2008-08-11
KJ501239_2008.6202_USA_MN_LacquiParle_-96.1734_44.9955	2008-08-15
KJ501240_2008.7514_USA_MN_LacquiParle_-96.1734_44.9955	2008-10-02
KJ501241_2009.6356_USA_MN_Swift_-95.6814_45.2827	2009-08-21
KJ501242_2010.6822_USA_MN_Swift_-95.6814_45.2827	2010-09-07
KJ501249_2001.7534_USA_MO_SaintLouis_-90.2449_38.6361	2001-10-03
KJ501250_2009.6438_USA_MT_Phillips_-107.9133_48.2591	2009-08-24
KJ501251_2009.6932_USA_MT_Flathead_-114.0498_48.2952	2009-09-11
KJ501253_2008.3142_USA_ND_Burleigh_-100.4688_46.9775	2008-04-25
KJ501254_2008.6366_USA_ND_McLean_-101.3217_47.6068	2008-08-21
KJ501255_2008.653_USA_ND_Stutsman_-98.9588_46.9793	2008-08-27
KJ501256_2009.6521_USA_ND_Mountrail_-102.3556_48.2014	2009-08-27
KJ501257_2002.6658_USA_ND_GrandForks_-97.457_47.922	2002-09-01
KJ501259_2008.0055_USA_SD_Yankton_-97.3946_43.009	2008-01-03
KJ501260_2008.5765_USA_SD_Day_-97.6074_45.3672	2008-07-30
