state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	frequencies1	frequencies2	frequencies3	frequencies4	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
437000000	0.1232	1.2189	0.1338	3.3983E-2	4.3283	0.1618	0.2870	0.2661	0.2076	0.2884	0.2379	4.6883E-4	1.7967E-4	4.5209E-4	0.3792	-1.6595E-2	0.225	18.612	2147.426
438000000	0.1327	1.2938	0.1621	3.2555E-2	4.2236	0.1552	0.2914	0.2696	0.2065	0.2848	0.2391	4.5539E-4	1.6559E-4	4.4411E-4	0.3629	2.925E-2	0.182	18.369	2155.931
439000000	0.1111	1.2592	0.1673	3.2586E-2	4.2731	0.1567	0.2832	0.2642	0.2142	0.2852	0.2364	4.7195E-4	1.423E-4	4.6067E-4	0.2969	-3.5398E-2	0.182	18.549	2131.854
440000000	0.1245	1.1994	0.1496	3.7423E-2	4.3094	0.1797	0.3086	0.2710	0.2089	0.2836	0.2366	4.661E-4	1.6488E-4	4.5404E-4	0.3477	5.9121E-3	0.088	18.294	2195.633
441000000	0.1142	1.2388	0.1497	2.8127E-2	4.2837	0.1855	0.2912	0.2668	0.2108	0.2889	0.2334	4.464E-4	1.525E-4	4.4912E-4	0.3400	7.4595E-3	0.331	18.497	2193.314
442000000	0.1138	1.2077	0.1383	3.2512E-2	4.3537	0.1540	0.2868	0.2768	0.2069	0.2842	0.2321	4.3902E-4	1.4826E-4	4.3089E-4	0.3412	7.9466E-3	0.126	18.389	2190.876
443000000	0.1091	1.2376	0.1659	3.6352E-2	4.2801	0.1709	0.2912	0.2728	0.2045	0.2891	0.2337	4.5744E-4	1.4685E-4	4.4026E-4	0.3143	9.6626E-4	0.168	18.812	2167.427
444000000	0.1120	1.2278	0.1515	3.6334E-2	4.3124	0.1599	0.3080	0.2699	0.2089	0.2876	0.2336	4.5925E-4	1.5782E-4	4.4924E-4	0.3538	-4.3372E-2	0.369	18.796	2154.257
445000000	0.1232	1.3207	0.1367	3.9304E-2	4.2112	0.1690	0.2906	0.2651	0.2119	0.2885	0.2346	4.6275E-4	1.8308E-4	4.4756E-4	0.3882	-2.2678E-2	0.406	18.341	2156.974
446000000	0.1230	1.2657	0.1570	3.7139E-2	4.2773	0.1398	0.2990	0.2662	0.2040	0.2917	0.2381	4.5723E-4	1.7783E-4	4.4569E-4	0.3825	-4.2322E-2	0.176	18.246	2144.134
