taxon	date
1983|Avian|A/red-necked_stint/Western_Australia/4923/1983|Australia|H3N8	1983-01-01
1983|Avian|A/turkey/Ireland/1378/1983|Ireland|H5N8	1983-01-01
1983|Avian|A/turkey/Virginia/6962/1983|USA|H5N2	1983-01-01
1983|Swine|A/swine/Belgium/WVL2/1983|Belgium|H1N1	1983-01-01
1984|Avian|A/Chicken/Virginia/40018/84|USA|H5N2	1984-01-01
1984|Avian|A/duck/NZL/41/1984|New_Zealand|H1N2	1984-01-01
1984|Avian|A/duck/New_Zealand/78/1984|New_Zealand|H9N2	1984-01-01
1984|Avian|A/gull/Astrakhan/227/1984|Russia|H13N6	1984-01-01
1984|Avian|A/mallard_duck/Alberta/630/1984|Canada|H4N2	1984-01-01
1984|Avian|A/pintail_duck/ALB/584/1984|Canada|H10N6	1984-01-01
1984|Avian|A/red-necked_stint/Western_Australia/4915/1984|Australia|H3N8	1984-01-01
1984|Human|A/Hong_Kong/7/1984|Hong_Kong|H3N2	1984-01-01
1985|Avian|A/blackhead_gull/Astrakhan/458/1985|Russia|H13N6	1985-01-01
1985|Avian|A/green-winged_teal/ALB/228/1985|Canada|H7N3	1985-01-01
1985|Avian|A/laughing_gull/New_Jersey/75/1985|USA|H2N9	1985-01-01
1985|Avian|A/mallard/Tennessee/11457/1985|USA|H11N9	1985-01-01
1985|Avian|A/redhead_duck/ALB/116/1985|Canada|H4N6	1985-01-01
1985|Equine|A/equine/Santa_Fe/1/1985|USA|H3N8	1985-01-01
1985|Human|A/Memphis/7/1985|USA|H3N2	1985-01-01
1985|Swine|A/swine/France/WVL4/1985|France|H1N1	1985-01-01
1985|Swine|A/swine/Iowa/2/1985|USA|H1N1	1985-01-01
1986|Avian|A/chicken/MA/11801/1986|USA|H5N2	1986-01-01
1986|Avian|A/duck/LA/B174/1986|USA|H8N4	1986-01-01
1986|Avian|A/green-winged_teal/Ohio/397/1986|USA|H11N9	1986-01-01
1986|Avian|A/herring_gull/Delaware/471/1986|USA|H2N7	1986-01-01
1986|Avian|A/herring_gull/New_Jersey/780/86|USA|H1N3	1986-01-01
1986|Avian|A/mallard/Ohio/264/1986|USA|H3N8	1986-01-01
1986|Avian|A/sanderling/Delaware/1258/1986|USA|H6N6	1986-01-01
1986|Equine|A/equine/Kentucky/1/1986|USA|H3N8	1986-01-01
1986|Human|A/Colorado/2/1986|USA|H3N2	1986-01-01
1987|Avian|A/chicken/NY/12004-3/1987|USA|H5N2	1987-01-01
1987|Avian|A/coot/ALB/134/1987|Canada|H6N2	1987-01-01
1987|Avian|A/duck/LA/17G/1987|USA|H3N8	1987-01-01
1987|Avian|A/duck/LA/32M/1987|USA|H6N2	1987-01-01
1987|Avian|A/green-winged_teal/Ohio/430/1987|USA|H1N1	1987-01-01
1987|Avian|A/laughing_gull/Delaware_Bay/2838/1987|USA|H13N2	1987-01-01
1987|Avian|A/mallard/Ohio/421/1987|USA|H7N8	1987-01-01
1987|Avian|A/pintail/Ohio/339/1987|USA|H3N8	1987-01-01
1987|Equine|A/equine/Kentucky/1/1987|USA|H3N8	1987-01-01
1987|Human|A/Los_Angeles/2/1987|USA|H3N2	1987-01-01
1987|Swine|A/swine/Iowa/1/1987|USA|H1N1	1987-01-01
1987|Swine|A/swine/Italy/670/1987|Italy|H1N1	1987-01-01
1988|Avian|A/black_duck/New_York/184/1988|USA|H5N2	1988-01-01
1988|Avian|A/chicken/Florida/22780-2/88|USA|H5N2	1988-01-01
1988|Avian|A/herring_gull/DE/665/1988|USA|H4N6	1988-01-01
1988|Avian|A/mallard/Ohio/324/1988|USA|H4N6	1988-01-01
1988|Avian|A/mallard/Ohio/409/1988|USA|H12N5	1988-01-01
1988|Equine|A/equine/Kentucky/692/1988|USA|H3N8	1988-01-01
1988|Swine|A/swine/Iowa/31483/1988|USA|H1N1	1988-01-01
1989|Avian|A/duck/Perak/2458/1989|Malaysia|H3N8	1989-01-01
1989|Avian|A/mallard/Ohio/42/1989|USA|H10N6	1989-01-01
1989|Avian|A/pintail/Ohio/73/1989|USA|H6N2	1989-01-01
1989|Equine|A/equine/Rook/93753/1989|United_Kingdom|H3N8	1989-01-01
1989|Human|A/Netherlands/620/1989|Netherlands|H3N2	1989-01-01
1990|Avian|A/black_duck/Ohio/195/1990|USA|mixed	1990-01-01
1990|Avian|A/blue-winged_teal/ALB/67/1990|Canada|H4N5	1990-01-01
1990|Avian|A/mallard_duck/ALB/253/1990|Canada|H6N3	1990-01-01
1990|Avian|A/semi-palmated_sandpiper/Brazil/43/1990|Brazil|H2N1	1990-01-01
1990|Avian|A/turkey/Minnesota/1012/1990|USA|H13N2	1990-01-01
1990|Equine|A/equine/Kentucky/1277/1990|USA|H3N8	1990-01-01
1990|Human|A/Siena/4/1990|Italy|H3N2	1990-01-01
1990|Swine|A/swine/Iowa/3421/1990|USA|H1N1	1990-01-01
1991|Avian|A/green-winged_teal/ALB/199/1991|Canada|H12N5	1991-01-01
1991|Avian|A/mallard/ALB/124/1991|Canada|H11N2	1991-01-01
1991|Avian|A/mallard/Alberta/12/1991|Canada|H4N6	1991-01-01
1991|Avian|A/pintail/Alberta/105/1991|Canada|H3N8	1991-01-01
1991|Equine|A/equine/Kentucky/1/1991|USA|H3N8	1991-01-01
1991|Equine|A/equine/Rome/5/1991|Italy|H3N8	1991-01-01
1991|Swine|A/swine/Iowa/24297/1991|USA|H1N1	1991-01-01
1992|Avian|A/blue-winged_teal/Alberta/141/1992|Canada|H1N1	1992-01-01
1992|Avian|A/duck/Nanchang/1749/1992|China|H11N2	1992-01-01
1992|Avian|A/duck/Victoria/1992|Australia|H3N8	1992-01-01
1992|Avian|A/mallard/Alberta/194/1992|Canada|H8N4	1992-01-01
1992|Equine|A/equine/Italy/1199/1992|Italy|H3N8	1992-01-01
1992|Equine|A/equine/Kentucky/1/1992|USA|H3N8	1992-01-01
1992|Swine|A/swine/England/WVL7/1992|United_Kingdom|H1N1	1992-01-01
1993|Avian|A/pintail/ALB/179/1993|Canada|H6N1	1993-01-01
1993|Equine|A/equine/Newmarket/1/1993|United_Kingdom|H3N8	1993-01-01
1993|Equine|A/equine/Switzerland/173/1993|Switzerland|H3N8	1993-01-01
1993|Human|A/Singapore/19/1993|Singapore|H3N2	1993-01-01
1993|Swine|A/swine/England/WVL10/1993|United_Kingdom|H1N1	1993-01-01
1993|Swine|A/swine/Hong_Kong/574/1993|Hong_Kong|H1N1	1993-01-01
1994|Avian|A/chicken/Mexico/31381-7/1994|Mexico|H5N2	1994-01-01
1994|Avian|A/chicken/NY/13142-5/1994|USA|H7N2	1994-01-01
1994|Avian|A/duck/Victoria/D23/1994|Australia|H4N2	1994-01-01
1994|Avian|A/emu/NY/12716/1994|USA|H5N9	1994-01-01
1994|Equine|A/equine/Kentucky/8/1994|USA|H3N8	1994-01-01
1994|Swine|A/swine/England/WVL11/1994|United_Kingdom|H1N1	1994-01-01
1994|Swine|A/swine/Hong_Kong/2422/1994|Hong_Kong|H1N1	1994-01-01
1995|Avian|A/chicken/Chiapas/28159-488/1995|Mexico|H5N2	1995-01-01
1995|Avian|A/chicken/NY/13833-7/1995|USA|H7N2	1995-01-01
1995|Avian|A/emu/TX/25414/1995|USA|H7N2	1995-01-01
1995|Avian|A/guinea_fowl/New_York/26410-17/1995|USA|H11N9	1995-01-01
1995|Human|A/Siena/3/1995|Italy|H3N2	1995-01-01
1996|Avian|A/chicken/Mexico/37821-771/1996|Mexico|H5N2	1996-01-01
1996|Avian|A/chicken/NY/3202-7/1996|USA|H7N2	1996-01-01
1996|Human|A/Niigata/137/96|Japan|H3N2	1996-01-01
1997|Avian|A/Teal/Hong_Kong/W312/97|Hong_Kong|H6N1	1997-01-01
1997|Avian|A/chicken/Chiapas/15406/1997|Mexico|H5N2	1997-01-01
1997|Avian|A/chicken/Italy/312/1997|Italy|H5N2	1997-01-01
1997|Avian|A/mallard/Alberta/52/1997|Canada|H12N5	1997-01-01
1997|Avian|A/turkey/PA/7975/1997|USA|H7N2	1997-01-01
1997|Equine|A/equine/California/4537/1997|USA|H3N8	1997-01-01
1997|Human|A/Shiga/25/97|Japan|H3N2	1997-01-01
1998|Avian|A/chicken/Mexico/22184/1998|Mexico|H5N2	1998-01-01
1998|Avian|A/chicken/PA/9801289/1998|USA|H7N2	1998-01-01
1998|Avian|A/duck/Hokkaido/49/98|Japan|H9N2	1998-01-01
1998|Avian|A/duck/Siberia/272/1998|Russia|H13N6	1998-01-01
1998|Avian|A/mallard/Minnesota/319/1998|USA|H6	1998-01-01
1998|Avian|A/parakeet/Narita/92A/98|Japan|H9N2	1998-01-01
1998|Swine|A/swine/Italy/62/1998|Italy|H1N2	1998-01-01
1999|Avian|A/chicken/NY/21586-8/1999|USA|H7N2	1999-01-01
1999|Avian|A/chicken/Taiwan/ns2/99|Taiwan|H6N1	1999-01-01
1999|Avian|A/mallard/Minnesota/280/1999|USA|H3N5	1999-01-01
1999|Avian|A/mallard/Netherlands/1/1999|Netherlands|H4N6	1999-01-01
1999|Human|A/New_South_Wales/17/1999|Australia|H3N2	1999-01-01
1999|Swine|A/Swine/Indiana/9K035/99_|USA|H1N2	1999-01-01
1999|Swine|A/swine/Italy/3592/1999|Italy|H1N2	1999-01-01
2000|Avian|A/chicken/Henan/26/00|China|H9N2	2000-01-01
2000|Avian|A/chicken/NJ/30739-6/2000|USA|H7N2	2000-01-01
2000|Avian|A/chicken/Taiwan/SP1/00|Taiwan|H6N1	2000-01-01
2000|Avian|A/common_teal/Netherlands/10/2000|Netherlands|H1N1	2000-01-01
2000|Avian|A/shorebird/Delaware_Bay/277/2000|USA|H9N7	2000-01-01
2000|Swine|A/Swine/Minnesota/55551/2000|USA|H1N2	2000-01-01
2000|Swine|A/swine/Bakum/1832/2000|Germany|H1N2	2000-01-01
2000|Swine|A/swine/Hong_Kong/6301/2000|Hong_Kong|H1N1	2000-01-01
2001|Avian|A/blue-winged_teal/Texas/71/2001|USA|H2N1	2001-01-01
2001|Avian|A/chicken/Hong_Kong/SF3/2001|Hong_Kong|H6N1	2001-01-01
2001|Avian|A/chicken/NJ/118878-5/2001|USA|H7N2	2001-01-01
2001|Avian|A/cinnamon_teal/Bolivia/4537/2001|Bolivia|H7N3	2001-01-01
2001|Avian|A/goose/Viet_Nam/113/2001|Viet_Nam|H5N1	2001-01-01
2001|Human|A/Sydney/405A/2001|Australia|H3N2	2001-01-01
2001|Swine|A/swine/Hong_Kong/NS1022/2001|Hong_Kong|H1N1	2001-01-01
2002|Avian|A/chicken/Taiwan/0107/02|Taiwan|H6N1	2002-01-01
2002|Avian|A/duck/Victoria/5383/2002|Australia|H4N8	2002-01-01
2002|Avian|A/goose/Hong_Kong/739.2/2002|Hong_Kong|H5N1	2002-01-01
2002|Avian|A/guinea_fowl/Hong_Kong/SSP99/2002|Hong_Kong|H6N2	2002-01-01
2002|Avian|A/shorebird/Delaware_Bay/18/2002|USA|H1N9	2002-01-01
2002|Equine|A/equine/California/8560/2002|USA|H3N8	2002-01-01
2002|Swine|A/swine/Hong_Kong/1669/2002|Hong_Kong|H1N1	2002-01-01
