taxon	date
LASV_NGA_2017_IRR_014_NGA-Ondo_Owo_Hs_2017-04-28	2017-04-28
LASV_NGA_2018_IRR_001_NGA-Bauchi_LimanKatagum_Hs_2018-01-02	2018-01-02
LASV_NGA_2018_IRR_005_NGA-Edo_OwanWest_Hs_2018-01-09	2018-01-09
LASV_NGA_2018_IRR_006_NGA-Edo_Auchi_Hs_2018-01-09	2018-01-09
LASV_NGA_2018_IRR_007_NGA-Ondo_Iyere_Hs_2018-01-09	2018-01-09
LASV_NGA_2018_IRR_008_NGA-Ondo_IjebuOwo_Hs_2018-01-11	2018-01-11
LASV_NGA_2018_IRR_009_NGA-Anambra_AnambraWest_Hs_2018-01-13	2018-01-13
LASV_NGA_2018_IRR_010_NGA-Ondo_Owo_Hs_2018-01-12	2018-01-12
LASV_NGA_2018_IRR_011_NGA-Ebonyi_Amauro_Hs_2018-01-13	2018-01-13
LASV_NGA_2018_IRR_013_NGA-Imo_Obowo_Hs_2018-01-13	2018-01-13
LASV_NGA_2018_IRR_014_NGA-Ondo_Owo_Hs_2018-01-15	2018-01-15
LASV_NGA_2018_IRR_015_NGA-Ondo_Owo_Hs_2018-01-16	2018-01-16
LASV_NGA_2018_IRR_017_NGA-Ondo_Owo_Hs_2018-01-15	2018-01-15
LASV_NGA_2018_IRR_019_NGA-Ondo_Owo_Hs_2018-01-17	2018-01-17
LASV_NGA_2018_IRR_020_NGA-Ondo_Owo_Hs_2018-01-17	2018-01-17
LASV_NGA_2018_IRR_021_NGA-Nassarawa_Keffi_Hs_2018-01-18	2018-01-18
LASV_NGA_2018_IRR_022_NGA-Kogi_Lokoja_Hs_2018-01-17	2018-01-17
LASV_NGA_2018_IRR_023_NGA-Edo_Uzebba_Hs_2018-01-18	2018-01-18
LASV_NGA_2018_IRR_024_NGA-Edo_Agenegbode_Hs_2018-01-19	2018-01-19
LASV_NGA_2018_IRR_025_NGA-Imo_Orlu_Hs_2018-01-19	2018-01-19
LASV_NGA_2018_IRR_031_NGA-Edo_Uromi_Hs_2018-01-24	2018-01-24
LASV_NGA_2018_IRR_033_NGA-Edo_Jattu_Hs_2018-01-25	2018-01-25
LASV_NGA_2018_IRR_034_NGA-Ebonyi_Iboko_Hs_2018-01-25	2018-01-25
LASV_NGA_2018_IRR_035_NGA-Ebonyi_Okposi-Okwa_Hs_2018-01-23	2018-01-23
LASV_NGA_2018_IRR_036_NGA-Edo_Ekpoma_Hs_2018-01-26	2018-01-26
LASV_NGA_2018_IRR_037_NGA-Edo_Ubiaja_Hs_2018-01-26	2018-01-26
LASV_NGA_2018_IRR_042_NGA-Anambra_Nzam_Hs_2018-01-29	2018-01-29
LASV_NGA_2018_IRR_044_NGA-Ebonyi_AgbajaAzumili_Hs_2018-01-30	2018-01-30
LASV_NGA_2018_IRR_046_NGA-Edo_Ekpoma_Hs_2018-02-05	2018-02-05
LASV_NGA_2018_IRR_047_NGA-Ondo_Owo_Hs_2018-02-05	2018-02-05
LASV_NGA_2018_IRR_048_NGA-Ondo_Owo_Hs_2018-02-04	2018-02-04
LASV_NGA_2018_IRR_050_NGA-Ondo_Ifon_Hs_2018-02-05	2018-02-05
LASV_NGA_2018_IRR_051_NGA-Edo_Uromi_Hs_2018-02-06	2018-02-06
LASV_NGA_2018_IRR_052_NGA-Ondo_Owo_Hs_2018-02-07	2018-02-07
LASV_NGA_2018_IRR_053_NGA-Edo_Uromi_Hs_2018-02-08	2018-02-08
LASV_NGA_2018_IRR_056_NGA-Ondo_Owo_Hs_2018-02-09	2018-02-09
LASV_NGA_2018_IRR_057_NGA-Ondo_Owo_Hs_2018-02-09	2018-02-09
LASV_NGA_2018_IRR_060_NGA-Ebonyi_Isiama_Hs_2018-02-03	2018-02-03
LASV_NGA_2018_IRR_061_NGA-Ebonyi_Abakaliki_Hs_2018-02-07	2018-02-07
LASV_NGA_2018_IRR_063_NGA-Ebonyi_Amogwe_Hs_2018-02-07	2018-02-07
LASV_NGA_2018_IRR_065_NGA-Ebonyi_Abakaliki_Hs_2018-02-10	2018-02-10
LASV_NGA_2018_IRR_066_NGA-Edo_Auchi_Hs_2018-02-10	2018-02-10
LASV_NGA_2018_IRR_071_NGA-Ondo_Ifon_Hs_2018-02-11	2018-02-11
LASV_NGA_2018_IRR_072_NGA-Ondo_Owo_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_073_NGA-Anambra_Ode-Nzam_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_074_NGA-Edo_Sobe_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_075_NGA-Edo_BeninCity_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_082_NGA-Ondo_Owo_Hs_2018-02-13	2018-02-13
LASV_NGA_2018_IRR_083_NGA-Ondo_Owo_Hs_2018-02-13	2018-02-13
LASV_NGA_2018_IRR_084_NGA-Ondo_Owo_Hs_2018-02-13	2018-02-13
LASV_NGA_2018_IRR_085_NGA-Edo_Sabongida-Ora_Hs_2018-02-14	2018-02-14
LASV_NGA_2018_IRR_086_NGA-Bauchi_Wandi_Hs_2018-02-08	2018-02-08
LASV_NGA_2018_IRR_088_NGA-Anambra_Amansea_Hs_2018-02-14	2018-02-14
LASV_NGA_2018_IRR_091_NGA-Edo_Afowa_Hs_2018-02-15	2018-02-15
LASV_NGA_2018_IRR_092_NGA-Ondo_Owo_Hs_2018-02-15	2018-02-15
LASV_NGA_2018_IRR_095_NGA-Ekiti_Ado-Ekiti_Hs_2018-02-15	2018-02-15
LASV_NGA_2018_IRR_096_NGA-Delta_Asaba_Hs_2018-02-17	2018-02-17
LASV_NGA_2018_IRR_099_NGA-Ebonyi_UmunwaguIdembia_Hs_2018-02-15	2018-02-15
LASV_NGA_2018_IRR_100_NGA-Ebonyi_Ohaozara_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_101_NGA-Ebonyi_Abakaliki_Hs_2018-02-12	2018-02-12
LASV_NGA_2018_IRR_103_NGA-Edo_Uromi_Hs_2018-02-18	2018-02-18
LASV_NGA_2018_IRR_106_NGA-Edo_Uromi_Hs_2018-02-20	2018-02-20
