state	cp12.gtr.rates.rateAC	cp12.gtr.rates.rateAG	cp12.gtr.rates.rateAT	cp12.gtr.rates.rateCG	cp12.gtr.rates.rateCT	cp12.gtr.rates.rateGT	cp3.gtr.rates.rateAC	cp3.gtr.rates.rateAG	cp3.gtr.rates.rateAT	cp3.gtr.rates.rateCG	cp3.gtr.rates.rateCT	cp3.gtr.rates.rateGT	nc.gtr.rates.rateAC	nc.gtr.rates.rateAG	nc.gtr.rates.rateAT	nc.gtr.rates.rateCG	nc.gtr.rates.rateCT	nc.gtr.rates.rateGT	cp12.alpha	cp3.alpha	nc.alpha	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	nc.frequencies1	nc.frequencies2	nc.frequencies3	nc.frequencies4	cp12.mu	cp3.mu	nc.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	skygrid.precision	rootHeight	treeLength
82000000	0.4668	2.1147	0.2188	7.3894E-2	2.9162	0.2096	0.3790	2.6555	0.2571	4.3801E-2	2.2306	0.4340	0.3475	2.3433	0.1648	6.5448E-2	2.5132	0.5657	5.7024E-2	0.1980	0.2833	0.2990	0.2035	0.2279	0.2697	0.2429	0.2345	0.2537	0.2690	0.3759	0.2477	0.1649	0.2115	0.3728	2.1812	1.2469	6.5282E-4	1.1281E-3	4.7131E-4	1.3983	0.1439	18.047	21.690	447.456
83000000	0.5253	2.0982	0.3203	0.1439	2.7034	0.2089	0.3993	2.8493	0.1942	5.134E-2	2.1739	0.3321	0.2944	2.2727	0.1543	4.1234E-2	2.8687	0.3686	3.3749E-2	0.1805	0.2321	0.3022	0.2019	0.2289	0.2670	0.2392	0.2401	0.2426	0.2781	0.3516	0.2346	0.1757	0.2380	0.3657	2.2027	1.2222	6.0863E-4	7.7704E-4	4.8946E-4	1.1424	0.1841	5.406	21.813	440.367
84000000	0.5504	2.3417	0.3320	0.1285	2.4913	0.1561	0.3970	2.7128	0.2274	1.9178E-2	2.2994	0.3443	0.2280	2.7269	0.2463	7.2942E-2	2.3669	0.3588	3.6777E-3	0.1908	0.1911	0.2989	0.2038	0.2251	0.2722	0.2351	0.2482	0.2480	0.2687	0.3423	0.2370	0.1836	0.2371	0.3507	2.2405	1.1957	5.1519E-4	6.2263E-4	4.4828E-4	1.1320	0.1042	1.199	22.178	462.149
85000000	0.6333	2.4015	0.2229	0.1235	2.4317	0.1870	0.3965	2.5368	0.1386	4.1253E-2	2.4600	0.4269	0.4505	2.3185	0.1309	0.1391	2.5812	0.3798	1.3989E-2	0.1670	0.2248	0.2979	0.2156	0.2242	0.2623	0.2487	0.2409	0.2470	0.2633	0.3365	0.2527	0.1798	0.2310	0.3445	2.1949	1.3919	5.4259E-4	6.5759E-4	4.4499E-4	1.0642	0.1036	4.789	29.898	470.136
86000000	0.5024	2.2801	0.2592	0.1189	2.6115	0.2279	0.3481	2.8660	0.1756	4.0093E-2	2.2859	0.2842	0.2383	2.3645	0.1869	0.1062	2.5959	0.5081	6.9084E-2	0.1772	0.2473	0.3024	0.1976	0.2299	0.2700	0.2409	0.2381	0.2428	0.2782	0.3380	0.2604	0.1714	0.2303	0.3612	2.1912	1.2916	6.1333E-4	8.9361E-4	4.9236E-4	1.3352	7.4977E-2	1.395	19.378	423.697
87000000	0.7055	2.3599	0.2994	4.8817E-2	2.3311	0.2552	0.4107	2.7678	0.2398	3.1452E-2	2.2044	0.3458	0.2261	2.2978	0.1302	9.8645E-2	2.5167	0.7306	1.2557E-2	0.1801	0.2214	0.2973	0.2037	0.2358	0.2632	0.2409	0.2434	0.2437	0.2721	0.3453	0.2480	0.1875	0.2192	0.3499	2.2406	1.2011	5.0241E-4	6.5516E-4	4.864E-4	1.3904	0.1336	1.555	21.010	447.283
88000000	0.5132	2.3219	0.2528	0.1739	2.4202	0.3180	0.4331	2.7396	0.1998	5.5644E-2	2.2763	0.2955	0.3232	2.7277	0.3008	5.2495E-2	2.0845	0.5113	2.8974E-2	0.1809	0.1823	0.2986	0.2115	0.2254	0.2645	0.2363	0.2486	0.2428	0.2723	0.3416	0.2531	0.1745	0.2308	0.3840	2.1879	1.1488	5.0474E-4	5.6592E-4	4.4003E-4	1.2425	0.1131	3.431	20.883	455.555
89000000	0.5506	1.9935	0.2687	9.9412E-2	2.8629	0.2249	0.3586	2.7824	0.2087	1.2244E-2	2.3243	0.3137	0.2995	2.2450	0.1293	0.2605	2.5385	0.5271	3.2721E-2	0.1833	0.2407	0.2988	0.2042	0.2383	0.2588	0.2448	0.2452	0.2543	0.2557	0.3353	0.2343	0.1899	0.2404	0.3759	2.2432	1.0171	6.4058E-4	9.0332E-4	5.1759E-4	1.4653	0.1684	2.343	20.034	414.309
90000000	0.6243	1.8800	0.2451	0.1347	2.8625	0.2534	0.4329	2.7152	0.2180	1.5933E-2	2.2618	0.3563	0.3800	2.0057	0.2931	0.1357	2.7668	0.4187	2.9716E-2	0.1836	0.2408	0.2936	0.2015	0.2323	0.2727	0.2400	0.2501	0.2470	0.2629	0.3489	0.2409	0.1659	0.2443	0.3520	2.2217	1.2509	4.884E-4	5.5683E-4	4.8335E-4	1.3140	8.5507E-2	35.920	22.261	469.276
91000000	0.4578	2.0474	0.3451	0.2095	2.6878	0.2524	0.4111	3.0136	0.1908	2.9558E-2	1.9961	0.3589	0.2868	2.3007	0.1820	0.1393	2.6433	0.4480	1.7962E-2	0.1626	0.1971	0.3004	0.2058	0.2219	0.2719	0.2364	0.2496	0.2374	0.2766	0.3519	0.2339	0.1734	0.2407	0.3493	2.2391	1.2106	6.0598E-4	7.9804E-4	4.943E-4	1.3997	5.5212E-2	6.401	21.230	425.478
