state	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	pInv	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	skygrid.precision	rootHeight	treeLength
99000000	0.2648	1.2364	0.2237	0.3759	2.8958	1.0035	0.8285	0.2935	0.1829	0.1952	0.3284	1.3052E-3	0.884	0.182	16.779
100000000	0.3413	1.0557	0.2591	0.3574	3.1810	0.8054	0.8750	0.2980	0.1808	0.1925	0.3286	1.3096E-3	0.135	0.182	17.267
101000000	0.2768	1.2641	0.2041	0.2119	3.0488	0.9942	0.8532	0.2962	0.1802	0.1931	0.3305	1.3421E-3	0.249	0.158	17.025
102000000	0.3298	1.2580	0.2333	0.1768	3.0496	0.9525	0.8485	0.3007	0.1779	0.1976	0.3238	1.1505E-3	0.078	0.157	17.434
103000000	0.3712	1.3387	0.3151	0.3482	2.8360	0.7908	0.7990	0.2992	0.1846	0.1920	0.3242	1.5525E-3	0.194	0.162	15.467
104000000	0.3046	1.3192	0.1730	0.3016	2.9540	0.9476	0.8698	0.2991	0.1796	0.1942	0.3271	1.4414E-3	0.490	0.198	15.367
105000000	0.2389	1.4352	0.2095	0.3280	2.6756	1.1128	0.8321	0.2941	0.1848	0.1929	0.3282	1.1283E-3	0.246	0.163	20.155
106000000	0.2978	1.1149	0.1556	0.3220	3.2459	0.8639	0.8223	0.2970	0.1816	0.1961	0.3253	1.2028E-3	0.208	0.205	17.841
107000000	0.2682	1.4799	0.2396	0.2459	2.8717	0.8947	0.8316	0.2935	0.1836	0.1976	0.3252	1.4465E-3	0.467	0.234	15.514
108000000	0.3938	1.1258	0.2040	0.2828	3.0486	0.9451	0.8490	0.2965	0.1833	0.2016	0.3187	1.5106E-3	0.472	0.164	15.198
109000000	0.3886	1.2096	0.2568	0.2652	3.0390	0.8408	0.8371	0.3032	0.1834	0.1911	0.3223	1.2365E-3	0.292	0.209	18.246
