state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
133000000	8.097	16.870	0.2161	1.2942	0.4131	2.1737	0.3453	0.2508	0.1828	0.2212	0.3788	0.1946	0.1791	0.2476	2.1839E-3	1.4825E-3	3.1986E-3	1.9234E-3	3.4216E-3	2.5815E-3	2.8307E-3	2.4617E-3	427.138	1054.271	4642.398	52.005	65.753	18.559	82.690	48.389	83.932	31.279	14.902
134000000	8.728	15.822	0.2220	1.2095	0.4109	2.1782	0.3541	0.2501	0.1864	0.2094	0.3797	0.1919	0.1874	0.2411	2.2432E-3	1.5554E-3	3.179E-3	1.8005E-3	3.1327E-3	2.4088E-3	2.2669E-3	2.364E-3	52.466	754.429	3969.821	50.873	64.711	17.977	82.992	45.939	84.199	30.824	15.421
135000000	7.628	16.649	0.2309	1.2218	0.3984	2.2031	0.3558	0.2489	0.1831	0.2122	0.3804	0.1931	0.1780	0.2486	2.1616E-3	1.4008E-3	2.8539E-3	1.7982E-3	3.07E-3	2.3122E-3	2.4124E-3	2.4373E-3	54.835	810.126	4146.568	51.598	67.562	17.807	83.325	47.990	83.785	31.020	14.991
136000000	8.344	16.429	0.2138	1.2629	0.3820	2.2360	0.3461	0.2518	0.1893	0.2128	0.3725	0.1890	0.1792	0.2592	2.207E-3	1.47E-3	3.4419E-3	1.8293E-3	2.957E-3	2.5375E-3	2.632E-3	2.3438E-3	172.564	975.250	4459.513	50.210	65.668	18.166	82.785	49.391	83.480	30.939	15.087
137000000	7.826	16.064	0.2282	1.2617	0.4137	2.1725	0.3560	0.2453	0.1882	0.2104	0.3718	0.1923	0.1847	0.2513	2.2464E-3	1.5676E-3	2.9313E-3	1.8003E-3	3.027E-3	2.3229E-3	2.2707E-3	2.3509E-3	36.897	963.270	4392.313	51.210	67.879	17.967	81.979	49.882	84.432	31.117	15.397
138000000	8.972	17.125	0.2269	1.2854	0.3832	2.2336	0.3511	0.2523	0.1865	0.2101	0.3733	0.2007	0.1775	0.2485	2.2196E-3	1.6064E-3	3.3741E-3	1.8784E-3	2.8132E-3	2.4564E-3	2.2601E-3	2.4353E-3	91.394	1077.142	4634.101	50.514	66.182	17.953	82.209	49.635	83.133	32.402	15.060
139000000	8.138	18.649	0.2360	1.2811	0.3891	2.2218	0.3494	0.2517	0.1868	0.2122	0.3725	0.1896	0.1849	0.2530	2.1943E-3	1.5546E-3	3.2714E-3	1.7936E-3	3.2354E-3	2.5233E-3	2.4001E-3	2.8813E-3	779.782	1164.472	4822.589	50.413	68.551	18.194	83.301	47.717	82.829	31.071	13.912
140000000	8.497	15.725	0.2220	1.2763	0.4071	2.1857	0.3488	0.2419	0.1919	0.2174	0.3756	0.1948	0.1871	0.2425	2.134E-3	1.4804E-3	2.8284E-3	1.9535E-3	3.1769E-3	2.1889E-3	2.4316E-3	2.4741E-3	309.281	860.623	4205.577	50.283	68.910	17.825	82.032	47.024	84.456	31.051	13.994
141000000	7.930	16.588	0.2161	1.1660	0.4227	2.1546	0.3635	0.2375	0.1814	0.2176	0.3796	0.1949	0.1735	0.2521	2.2125E-3	1.4698E-3	2.5686E-3	1.7104E-3	2.8844E-3	2.5167E-3	2.3039E-3	2.6167E-3	133.158	742.815	3934.965	51.708	66.446	18.288	82.030	51.552	83.047	31.070	14.180
142000000	7.850	17.604	0.2175	1.2306	0.3849	2.2301	0.3613	0.2334	0.1936	0.2117	0.3739	0.1912	0.1840	0.2509	2.2063E-3	1.546E-3	2.8923E-3	1.7658E-3	3.2504E-3	2.3923E-3	2.8517E-3	2.4844E-3	62.128	786.798	4051.296	50.875	65.764	18.756	82.817	46.980	83.693	30.868	14.921
