state	cp12.kappa	cp3.kappa	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	cp12.mu	cp3.mu	clock.rate	constant.popSize	rootHeight	treeLength
85000000	5.484	13.130	0.3100	0.1950	0.2504	0.2446	0.3851	0.1769	0.1344	0.3037	0.5097	1.9806	2.7012E-3	22.773	16.327	924.928
86000000	5.112	10.298	0.3213	0.1891	0.2449	0.2447	0.3959	0.1815	0.1314	0.2912	0.5062	1.9875	2.6652E-3	23.909	16.377	932.581
87000000	6.228	12.376	0.3312	0.1907	0.2421	0.2360	0.3953	0.1711	0.1306	0.3030	0.5202	1.9596	2.6593E-3	23.395	16.902	928.797
88000000	6.145	11.589	0.3233	0.1988	0.2345	0.2433	0.4000	0.1687	0.1207	0.3106	0.5223	1.9555	2.6392E-3	23.187	17.244	930.679
89000000	5.840	12.028	0.3196	0.1883	0.2498	0.2423	0.3938	0.1743	0.1325	0.2994	0.5109	1.9782	2.761E-3	23.880	17.953	922.702
90000000	5.470	11.366	0.3094	0.1874	0.2646	0.2386	0.3902	0.1663	0.1382	0.3053	0.5201	1.9598	2.5747E-3	24.889	18.243	952.568
91000000	5.687	12.650	0.3061	0.1910	0.2521	0.2508	0.3927	0.1774	0.1234	0.3065	0.5237	1.9527	2.6362E-3	24.404	16.546	940.512
92000000	6.373	12.889	0.3153	0.1894	0.2429	0.2525	0.3989	0.1744	0.1308	0.2960	0.4857	2.0286	2.8263E-3	22.499	15.367	893.091
93000000	5.824	11.415	0.3165	0.1989	0.2470	0.2376	0.3887	0.1728	0.1321	0.3064	0.5284	1.9432	2.6937E-3	23.241	16.864	917.905
94000000	5.230	12.846	0.3268	0.1938	0.2323	0.2471	0.3943	0.1753	0.1272	0.3032	0.5085	1.9831	2.782E-3	22.951	15.108	931.783
95000000	6.067	12.146	0.3265	0.1948	0.2538	0.2249	0.3881	0.1626	0.1338	0.3154	0.5170	1.9659	2.603E-3	23.940	17.644	940.606
96000000	5.578	10.965	0.3278	0.1870	0.2528	0.2325	0.3939	0.1649	0.1328	0.3084	0.5129	1.9742	2.6253E-3	25.534	15.938	958.529
97000000	6.424	11.647	0.3220	0.1873	0.2473	0.2435	0.4062	0.1702	0.1353	0.2883	0.4968	2.0064	2.6763E-3	23.518	16.081	930.009
98000000	6.061	12.284	0.3189	0.1893	0.2537	0.2381	0.3998	0.1707	0.1343	0.2951	0.4951	2.0098	2.6767E-3	23.782	16.244	925.702
99000000	5.442	12.400	0.3253	0.2004	0.2495	0.2247	0.4035	0.1724	0.1338	0.2902	0.4988	2.0023	2.7384E-3	21.955	16.720	892.629
100000000	5.671	12.041	0.3449	0.1797	0.2381	0.2373	0.3757	0.1740	0.1418	0.3085	0.4814	2.0372	2.6714E-3	23.185	16.594	926.278
101000000	5.479	11.528	0.3049	0.1864	0.2602	0.2485	0.4012	0.1608	0.1259	0.3121	0.4948	2.0104	2.7278E-3	22.754	15.597	914.147
102000000	5.578	11.928	0.3323	0.1921	0.2273	0.2483	0.4003	0.1719	0.1359	0.2920	0.4855	2.0290	2.6604E-3	23.447	16.163	941.024
103000000	5.622	11.796	0.3258	0.1923	0.2399	0.2421	0.4045	0.1694	0.1260	0.3002	0.5071	1.9859	2.7326E-3	24.331	16.488	915.680
104000000	6.170	12.628	0.3242	0.1884	0.2578	0.2296	0.4034	0.1782	0.1277	0.2907	0.5162	1.9676	2.6289E-3	24.192	16.574	925.638
105000000	5.604	11.545	0.3131	0.2161	0.2372	0.2335	0.3855	0.1783	0.1368	0.2995	0.4910	2.0180	2.7192E-3	22.643	17.010	902.092
106000000	5.297	11.338	0.3098	0.1888	0.2409	0.2605	0.3998	0.1650	0.1359	0.2993	0.5186	1.9629	2.5564E-3	24.451	16.774	954.683
107000000	5.954	11.985	0.3355	0.1920	0.2503	0.2222	0.3967	0.1719	0.1250	0.3064	0.4991	2.0018	2.6394E-3	23.933	16.430	925.200
108000000	6.198	11.635	0.3099	0.1915	0.2497	0.2489	0.4053	0.1736	0.1297	0.2914	0.4798	2.0403	2.7282E-3	20.379	16.342	875.892
109000000	5.703	12.625	0.3033	0.1896	0.2590	0.2481	0.3991	0.1634	0.1335	0.3040	0.4992	2.0016	2.6854E-3	23.882	16.775	936.860
110000000	5.697	10.788	0.3175	0.1969	0.2378	0.2478	0.4113	0.1685	0.1321	0.2881	0.4992	2.0015	2.712E-3	22.370	17.013	901.353
111000000	5.519	12.578	0.3069	0.2014	0.2511	0.2406	0.3928	0.1800	0.1260	0.3013	0.4992	2.0016	2.6598E-3	23.085	16.094	909.679
112000000	6.205	11.083	0.3122	0.2016	0.2324	0.2538	0.3870	0.1829	0.1290	0.3011	0.4995	2.0010	2.7249E-3	20.823	17.868	892.025
113000000	5.725	12.270	0.3309	0.2067	0.2341	0.2284	0.4017	0.1758	0.1426	0.2800	0.5002	1.9997	2.8396E-3	20.868	17.691	872.743
114000000	6.635	12.052	0.3176	0.1861	0.2459	0.2504	0.4091	0.1709	0.1271	0.2929	0.5047	1.9906	2.8446E-3	21.219	16.391	889.508
115000000	5.560	10.830	0.3233	0.1947	0.2397	0.2423	0.3823	0.1768	0.1348	0.3061	0.5004	1.9991	2.6714E-3	23.203	16.983	919.572
116000000	5.413	12.250	0.3104	0.1887	0.2511	0.2498	0.3841	0.1668	0.1372	0.3119	0.4975	2.0050	2.6622E-3	21.666	15.765	883.081
117000000	5.444	11.493	0.3075	0.2101	0.2488	0.2336	0.3938	0.1755	0.1240	0.3066	0.5117	1.9766	2.7918E-3	21.635	15.963	877.956
118000000	5.501	11.548	0.3386	0.1915	0.2275	0.2424	0.3892	0.1691	0.1369	0.3047	0.5069	1.9862	2.7127E-3	22.736	16.984	895.574
119000000	5.010	12.762	0.3082	0.1887	0.2517	0.2514	0.3852	0.1664	0.1376	0.3109	0.4857	2.0285	2.7792E-3	21.800	16.516	905.728
120000000	6.167	11.504	0.2992	0.1926	0.2558	0.2524	0.3871	0.1733	0.1329	0.3066	0.4966	2.0069	2.7183E-3	22.800	17.756	908.662
