state	posterior	prior	likelihood	coalescent
369000000	-37499.531	-8297.591	-29201.940	-8286.886
370000000	-37414.173	-8208.672	-29205.501	-8198.177
371000000	-37556.945	-8344.514	-29212.431	-8334.070
372000000	-37554.884	-8374.655	-29180.229	-8364.026
373000000	-37498.639	-8232.119	-29266.520	-8221.597
374000000	-37596.065	-8377.254	-29218.811	-8367.039
375000000	-37499.712	-8300.727	-29198.985	-8290.286
376000000	-37686.515	-8422.622	-29263.892	-8412.172
377000000	-37510.090	-8338.793	-29171.297	-8327.989
378000000	-37588.346	-8354.414	-29233.932	-8343.501
379000000	-37652.779	-8400.597	-29252.182	-8389.763
380000000	-37660.535	-8472.970	-29187.565	-8462.245
381000000	-37419.066	-8247.034	-29172.032	-8236.578
382000000	-37530.347	-8358.045	-29172.302	-8347.386
383000000	-37583.671	-8362.645	-29221.026	-8352.205
384000000	-37684.239	-8462.914	-29221.325	-8452.181
385000000	-37576.842	-8349.122	-29227.720	-8338.231
386000000	-37549.239	-8333.581	-29215.658	-8323.210
387000000	-37614.481	-8388.689	-29225.792	-8377.928
388000000	-37616.522	-8407.400	-29209.122	-8396.814
389000000	-37580.771	-8316.366	-29264.405	-8305.654
390000000	-37727.532	-8516.287	-29211.245	-8505.620
391000000	-37491.991	-8238.236	-29253.755	-8227.854
392000000	-37612.190	-8392.659	-29219.531	-8382.185
393000000	-37606.387	-8402.560	-29203.827	-8391.905
394000000	-37624.649	-8389.412	-29235.237	-8378.689
395000000	-37645.536	-8433.172	-29212.364	-8422.430
396000000	-37610.995	-8330.244	-29280.752	-8319.530
397000000	-37678.152	-8485.331	-29192.821	-8474.645
398000000	-37533.677	-8275.890	-29257.787	-8265.052
399000000	-37715.832	-8477.946	-29237.886	-8467.333
400000000	-37519.446	-8228.115	-29291.330	-8217.378
401000000	-37612.054	-8310.671	-29301.383	-8300.537
402000000	-37629.176	-8388.383	-29240.794	-8377.946
403000000	-37597.777	-8372.478	-29225.299	-8361.757
404000000	-37469.752	-8269.314	-29200.438	-8258.613
405000000	-37683.714	-8420.737	-29262.977	-8410.221
406000000	-37682.956	-8391.589	-29291.366	-8381.106
407000000	-37540.109	-8320.836	-29219.272	-8310.511
408000000	-37549.691	-8343.998	-29205.693	-8333.476
409000000	-37634.868	-8434.929	-29199.940	-8424.094
410000000	-37472.439	-8262.551	-29209.889	-8251.927
411000000	-37536.904	-8281.251	-29255.653	-8270.506
412000000	-37707.216	-8418.463	-29288.752	-8407.911
413000000	-37594.678	-8312.709	-29281.969	-8302.178
414000000	-37613.419	-8357.590	-29255.830	-8346.715
415000000	-37467.969	-8275.367	-29192.602	-8264.876
416000000	-37546.970	-8288.687	-29258.282	-8277.994
417000000	-37513.149	-8345.620	-29167.529	-8334.871
418000000	-37595.307	-8355.652	-29239.655	-8345.063
419000000	-37539.067	-8296.613	-29242.454	-8286.093
420000000	-37509.444	-8259.805	-29249.639	-8249.115
421000000	-37631.109	-8334.438	-29296.671	-8323.573
422000000	-37596.452	-8361.256	-29235.196	-8350.313
423000000	-37496.433	-8233.141	-29263.292	-8222.740
424000000	-37617.954	-8375.081	-29242.873	-8364.459
425000000	-37548.364	-8302.889	-29245.475	-8292.222
426000000	-37725.967	-8505.716	-29220.250	-8494.948
427000000	-37659.761	-8383.638	-29276.123	-8373.417
428000000	-37554.790	-8300.829	-29253.961	-8290.172
429000000	-37530.640	-8300.647	-29229.992	-8290.227
430000000	-37598.226	-8417.147	-29181.079	-8406.566
431000000	-37638.119	-8415.403	-29222.716	-8404.784
432000000	-37562.950	-8352.458	-29210.492	-8341.603
433000000	-37554.770	-8368.761	-29186.008	-8358.265
434000000	-37526.045	-8279.542	-29246.503	-8269.060
435000000	-37564.492	-8302.177	-29262.315	-8291.796
436000000	-37670.545	-8329.530	-29341.014	-8319.241
437000000	-37519.563	-8292.687	-29226.876	-8282.059
438000000	-37625.019	-8413.371	-29211.648	-8402.522
439000000	-37635.262	-8343.596	-29291.665	-8333.228
440000000	-37613.712	-8377.505	-29236.207	-8366.734
441000000	-37580.461	-8358.271	-29222.190	-8347.730
442000000	-37715.102	-8431.631	-29283.472	-8420.887
443000000	-37552.653	-8274.517	-29278.136	-8264.082
444000000	-37687.883	-8404.865	-29283.018	-8394.406
445000000	-37681.631	-8460.248	-29221.382	-8449.589
446000000	-37484.656	-8224.151	-29260.505	-8213.766
447000000	-37553.045	-8406.244	-29146.800	-8395.672
448000000	-37626.226	-8416.014	-29210.212	-8405.538
449000000	-37621.347	-8363.178	-29258.169	-8352.613
450000000	-37522.758	-8240.927	-29281.831	-8230.496
451000000	-37546.626	-8260.977	-29285.649	-8250.496
452000000	-37591.971	-8328.851	-29263.120	-8318.137
453000000	-37598.904	-8230.091	-29368.814	-8219.516
454000000	-37671.635	-8406.900	-29264.735	-8396.507
455000000	-37586.378	-8315.034	-29271.344	-8304.600
456000000	-37619.837	-8301.584	-29318.253	-8291.070
457000000	-37598.772	-8306.103	-29292.668	-8295.191
458000000	-37584.435	-8284.003	-29300.431	-8273.190
459000000	-37602.488	-8361.433	-29241.055	-8350.813
460000000	-37567.671	-8383.984	-29183.687	-8373.359
461000000	-37580.921	-8277.224	-29303.697	-8266.445
462000000	-37700.545	-8418.073	-29282.471	-8407.316
463000000	-37516.874	-8259.334	-29257.541	-8248.745
464000000	-37567.045	-8290.711	-29276.334	-8280.316
465000000	-37573.627	-8277.652	-29295.975	-8267.109
466000000	-37502.823	-8200.517	-29302.306	-8189.978
467000000	-37610.318	-8343.127	-29267.191	-8332.813
468000000	-37747.010	-8539.983	-29207.027	-8529.288
469000000	-37689.916	-8493.030	-29196.886	-8482.180
470000000	-37615.283	-8359.735	-29255.548	-8349.238
471000000	-37571.634	-8328.142	-29243.492	-8317.539
